,id,conversation_id,date,username,tweet,hashtags,tweet_original,label
27,"1,06126807133001E+018","1,06126807133001E+018",2018-11-10,ladysimmer94,"I have completely lost interest in so many things recently, including wearing makeup which I used to love doing. Now I cant even sit in front of the mirror applying mascara without feeling upset",[],"I have completely lost interest in so many things recently, including wearing makeup which I used to love doing. Now I cant even sit in front of the mirror applying mascara without feeling upset",1
28,"1,06117091733674E+018","1,06117091733674E+018",2018-11-10,thequaxx,"I've been feeling strangely empty recently. Over the years I lost interest in a lot of things and gradually just focused on a few. I think that now that my skill boost in mania is over and my piano isn't really progressing, there's not much I feel like doing. I hope this passes",[],"I've been feeling strangely empty recently. Over the years I lost interest in a lot of things and gradually just focused on a few. I think that now that my skill boost in mania is over and my piano isn't really progressing, there's not much I feel like doing. I hope this passes",1
29,"1,0611006795681E+018","1,0611002090972E+018",2018-11-10,beckedm,"burnout on different things happened at different times, luckily, so I think I was usually doing something. But for example, after biking really seriously for the first 3 years of HS, just lost interest. Didn't bike in college. Love it again now, thankfully!",[],"burnout on different things happened at different times, luckily, so I think I was usually doing something. But for example, after biking really seriously for the first 3 years of HS, just lost interest. Didn't bike in college. Love it again now, thankfully!",1
30,"1,05907352959588E+018","1,05907352959588E+018",2018-11-04,itsmewhodis,"People telling other people to never stop doing what you love,it is your passion etc.,then there's me,who've lost interest in things and not love things the same way as before.There's me who doesn't have passion for anything. 

So I often ask myself,""What does that make me then?""",[],"People telling other people to never stop doing what you love,it is your passion etc.,then there's me,who've lost interest in things and not love things the same way as before.There's me who doesn't have passion for anything. 

So I often ask myself,""What does that make me then?""",1
31,"1,05833808506545E+018","1,05833808506545E+018",2018-11-02,itsanaura,"once I got to college, I lost interest in so many things I used to love doing. like I don’t have enough time to enjoy the things I used to love π¥Ί",[],"once I got to college, I lost interest in so many things I used to love doing. like I don't have enough time to enjoy the things I used to love π¥Ί",1
32,"1,05816915310064E+018","1,05816915310064E+018",2018-11-02,hbzayy,"I’m single rn cuz mfs lost their interest in doin good things or actually caring for a mfπ’―π—£.....
On the other handπ‚That’s not gon stop me from doing what I doπ¤π’¦",[],"I'm single rn cuz mfs lost their interest in doin good things or actually caring for a mfπ’―π—£.....
On the other handπ‚That's not gon stop me from doing what I doπ¤π’¦",1
33,"1,05702771612862E+018","1,05702771612862E+018",2018-10-29,zippiesteve,Think I have finally lost interest in my one time favourite show The Walking Dead. Find myself doing other things now whle its on and missing large chunks of the Ahem.....plot!,[],Think I have finally lost interest in my one time favourite show The Walking Dead. Find myself doing other things now whle its on and missing large chunks of the Ahem.....plot!,1
34,"1,05682691241105E+018","1,05682691241105E+018",2018-10-29,hydenjackie,i rly lost interest in the things i m currently doing huh :(,[],i rly lost interest in the things i m currently doing huh :(,1
35,"1,0556843806292E+018","1,0556843806292E+018",2018-10-26,lokixjonas,I lost interest in stranger things when I was doing the rewatch for season 2 but I still love Finn Wolfhard.,[],I lost interest in stranger things when I was doing the rewatch for season 2 but I still love Finn Wolfhard.,1
36,"1,05319848554423E+018","1,05319848554423E+018",2018-10-19,black0_0rabbit,It's sad to see the things I've let go of or stopped doing or lost interest in solely because of shit lie depression and anxiety and just Adulting yano. Mate π­. Glad I'm getting them back bit by bit yano,[],It's sad to see the things I've let go of or stopped doing or lost interest in solely because of shit lie depression and anxiety and just Adulting yano. Mate π­. Glad I'm getting them back bit by bit yano,1
37,"1,05230853282392E+018","1,05230853282392E+018",2018-10-17,ewhisperss,"At this point in time, I'm honestly feeling like I'm 90% done with editing. Maybe just for a while, but I've lost my LOVE for it. I'm only interested in editing very specific things. I currently have zero interest in doing my own full videos for my channel. I just wanna do packs.",[],"At this point in time, I'm honestly feeling like I'm 90% done with editing. Maybe just for a while, but I've lost my LOVE for it. I'm only interested in editing very specific things. I currently have zero interest in doing my own full videos for my channel. I just wanna do packs.",1
38,"1,05187842375541E+018","1,05187842375541E+018",2018-10-15,t13583649,"I'll never forgive myself for cheating multiple times, losing interest in the love of my life, doing bad things when i lost hope. stealing from others and changing my name, because i should have been faithful from the jump start.",[],"I'll never forgive myself for cheating multiple times, losing interest in the love of my life, doing bad things when i lost hope. stealing from others and changing my name, because i should have been faithful from the jump start.",1
42,"1,0490421610298E+018","1,0490421610298E+018",2018-10-08,lostkatt199,"Idk why , but i lost interest in all the things i used to love doing before π’”",[],"Idk why , but i lost interest in all the things i used to love doing before π’”",1
43,"1,04880676046567E+018","1,04880676046567E+018",2018-10-07,caaittllin_v,something’s wrong w/me because i’m not caring about things i should be caring about anymore & i’ve lost interest in things i used to love doing WHATS WRONG WITH ME,[],something's wrong w/me because i'm not caring about things i should be caring about anymore & i've lost interest in things i used to love doing WHATS WRONG WITH ME,1
49,"1,04644539480316E+018","1,04644539480316E+018",2018-09-30,trcsmbjn,"in just one blink, i lost interest in doing things i thought i love the most???????",[],"in just one blink, i lost interest in doing things i thought i love the most???????",1
50,"1,04623344520945E+018","1,04623344520945E+018",2018-09-30,lividbeach,"I just realized how much I lost interest in gaining a following for the things I do, which is ironic because the reason I made the Livid Beach was so I could gain an audience with the things I like doing now",[],"I just realized how much I lost interest in gaining a following for the things I do, which is ironic because the reason I made the Livid Beach was so I could gain an audience with the things I like doing now",1
53,"1,04567688689286E+018","1,04567688689286E+018",2018-09-28,faleyyjagger,"Ive lost interest in many things. I cant focus on doing my work. Im always stress, even with simple tasks such as eating. Driving is a hell. Sitting becoming uncomfortable. Sleeping had become hard to do.",[],"Ive lost interest in many things. I cant focus on doing my work. Im always stress, even with simple tasks such as eating. Driving is a hell. Sitting becoming uncomfortable. Sleeping had become hard to do.",1
54,"1,04522519753882E+018","1,04522519753882E+018",2018-09-27,rodneygoldd,I’ve lost interest in so many things I used to be passionate about and I’ve come to realise it’s best not to force it. No point doing things half-hearted.,[],I've lost interest in so many things I used to be passionate about and I've come to realise it's best not to force it. No point doing things half-hearted.,1
55,"1,04504824931127E+018","1,04504824931127E+018",2018-09-26,midnightmegaera,"Not sure if it’s everything going on atm but I seem to be pretty β€blah' atm. Lost interest in reading, watching stuff and doing certain things.. :(

Hoping to rest and relax this weekend to hopefully help",[],"Not sure if it's everything going on atm but I seem to be pretty β€blah' atm. Lost interest in reading, watching stuff and doing certain things.. :(

Hoping to rest and relax this weekend to hopefully help",1
56,"1,04434517451471E+018","1,04434517451471E+018",2018-09-25,softforsonny,This is probably gonna make no sense at all but I really wish I had something that I enjoy doing (apart from photography and occasionally singing). All the things I use to enjoy I have lost interest in and it’s lowkey sad,[],This is probably gonna make no sense at all but I really wish I had something that I enjoy doing (apart from photography and occasionally singing). All the things I use to enjoy I have lost interest in and it's lowkey sad,1
57,"1,04417197462742E+018","1,04417197462742E+018",2018-09-24,adroitbts,I feel weird and I’ve suddenly lost interest in the things I like doing,[],I feel weird and I've suddenly lost interest in the things I like doing,1
59,"1,04364212995487E+018","1,04364212995487E+018",2018-09-23,k_w_t_a,"I kinda lost interest in doing fan art type stuff and wanted to draw more original things. That's why now it's kind of upsetting that, that's what seems like gets you noticed and get an audience.",[],"I kinda lost interest in doing fan art type stuff and wanted to draw more original things. That's why now it's kind of upsetting that, that's what seems like gets you noticed and get an audience.",1
61,"1,04207524847498E+018","1,04207524847498E+018",2018-09-18,vipforbb,"I dont hav purpose in doing things, i just do things cuz it is supposed to but these days,,, it became worse. I lost interest in everything",[],"I dont hav purpose in doing things, i just do things cuz it is supposed to but these days,,, it became worse. I lost interest in everything",1
62,"1,04183258963454E+018","1,0418308773686E+018",2018-09-18,layniemillah,"In short I kind of lost interest in doing a lot of things I like. I know this is a semi-common story but it’s never happened to me like this before, so honestly I kind of holed myself up a bit.",[],"In short I kind of lost interest in doing a lot of things I like. I know this is a semi-common story but it's never happened to me like this before, so honestly I kind of holed myself up a bit.",1
63,"1,04151436011444E+018","1,04151436011444E+018",2018-09-17,shaniabrianne,I’ve lost interest in so many things within the past 2 years so idek what I’m doing anymore π™ƒ,[],I've lost interest in so many things within the past 2 years so idek what I'm doing anymore π™ƒ,1
65,"1,04047552038992E+018","1,04047551502542E+018",2018-09-14,emsflowerr,"My irls, checked up on me allllll the time and I told them I’m wasn’t okay and they thought I’m joking. I wasn’t sleeping, I wasn’t eating, I lost interest in things I loved doing like writing and reading. My world seemed to crashing in front of my eyes; I wanted to die.",[],"My irls, checked up on me allllll the time and I told them I'm wasn't okay and they thought I'm joking. I wasn't sleeping, I wasn't eating, I lost interest in things I loved doing like writing and reading. My world seemed to crashing in front of my eyes; I wanted to die.",1
66,"1,04031532845731E+018","1,04031532845731E+018",2018-09-13,sirwoley,My face looks horrible after the prison experience and sadly I also lost interest in a lot of things I love doing.,[],My face looks horrible after the prison experience and sadly I also lost interest in a lot of things I love doing.,1
67,"1,04009066188459E+018","1,04009066188459E+018",2018-09-13,nappyheadedjoee,My depression & anxiety has worsened over these past few months. I’ve lost interest in things I once loved doing. Due to my tumor returning I’m unable to continue with TMS treatments & I refuse to take anti-depressants. Everyday is a truly a fight against my brain.,[],My depression & anxiety has worsened over these past few months. I've lost interest in things I once loved doing. Due to my tumor returning I'm unable to continue with TMS treatments & I refuse to take anti-depressants. Everyday is a truly a fight against my brain.,1
70,"1,03751723403213E+018","1,03751723403213E+018",2018-09-06,relatableafacc,lately Ive been hella fucking tired of life and how it’s been treating me π― I’ve lost interest in the things I used to love doing β€ ask me to hang out- I won’t feel up for it π• ask me how my days going - I’ll only talk about school nothing else π‘©π»β€π« I’ve changed.,[],lately I've been hella fucking tired of life and how it's been treating me π― I've lost interest in the things I used to love doing β€ ask me to hang out- I won't feel up for it π• ask me how my days going - I'll only talk about school nothing else π‘©π»β€π« I've changed.,1
72,"1,03535294248262E+018","1,03535294248262E+018",2018-08-31,amandamarie_s,Real talk: I’ve lost all interest in the things I normally loved doing... I feel like I’m losing a bit of β€meβ€... and it sucks... I need to get my drive back!! π”,[],Real talk: I've lost all interest in the things I normally loved doing... I feel like I'm losing a bit of β€meβ€... and it sucks... I need to get my drive back!! π”,1
73,"1,03497411039956E+018","1,03497411039956E+018",2018-08-30,kenziejaneseitt,I've lost so much interest in the things I used to love doing even getting out of bed and going to the store is a big struggle but to me I just feel lost and i dont know what to do about it anymore,[],I've lost so much interest in the things I used to love doing even getting out of bed and going to the store is a big struggle but to me I just feel lost and i dont know what to do about it anymore,1
75,"1,03437209821331E+018","1,03437209821331E+018",2018-08-28,chloemanuel,the sudden lost of interest in all the things i once loved doing is scaring me tbh,[],the sudden lost of interest in all the things i once loved doing is scaring me tbh,1
77,"1,0328383566763E+018","1,0328383566763E+018",2018-08-24,your_pyt,I’ve really lost interest in doing things π©π’€,[],I've really lost interest in doing things π©π’€,1
79,"1,03138857063491E+018","1,03138857063491E+018",2018-08-20,strgto,"I have anxiety about getting depressed. (Yeah, I know, fuck my brain)
Today I was looking at stuff I used to like doing that I don't now. OMG I'VE LOST INTEREST IN THINGS!
.... Wait, but I like new things now   pic.twitter.com/2tLVXErSkh","['#notdepressed', '#justmindgrowing']","I have anxiety about getting depressed. (Yeah, I know, fuck my brain)
Today I was looking at stuff I used to like doing that I don't now. OMG I'VE LOST INTEREST IN THINGS!
.... Wait, but I like new things now #NotDepressed #JustMindGrowing pic.twitter.com/2tLVXErSkh",1
80,"1,03116331267371E+018","1,03116331267371E+018",2018-08-19,kdlxvy,i hate realizing i've lost interest in a lot of things i used to love doing i cant do anything about it except regret losing interest in them in the first place,[],i hate realizing i've lost interest in a lot of things i used to love doing i cant do anything about it except regret losing interest in them in the first place,1
81,"1,03095844277163E+018","1,03095844277163E+018",2018-08-19,bellanoir_,Please don't wait until I've lost interest in you to start doing the things you should've been doing from the beginning!,[],Please don't wait until I've lost interest in you to start doing the things you should've been doing from the beginning!,1
82,"1,03072142286211E+018","1,03072142286211E+018",2018-08-18,dearwhoever17,"What happened to my life? Why is that when I'm happy & doing fine, everyone else around me is depressed? And why is it that when I'm depressed, everyone else around me seem happy & doing fine? I lost interest in so many things. It sucks.",[],"What happened to my life? Why is that when I'm happy & doing fine, everyone else around me is depressed? And why is it that when I'm depressed, everyone else around me seem happy & doing fine? I lost interest in so many things. It sucks.",1
83,"1,0303797756117E+018","1,0303797756117E+018",2018-08-17,shonroka,Love doing what I do but I lost focus or maybe just interest in everything else. Don't know what it is but I need to really distance myself more from a lot of things.  ,"['#beattheoddz', '#bhzlife']",Love doing what I do but I lost focus or maybe just interest in everything else. Don't know what it is but I need to really distance myself more from a lot of things. #BeattHeoddZ #BHZLife,1
88,"1,02729459801875E+018","1,02729459801875E+018",2018-08-08,sherideetz,"I realised i have now lost interest in 90% of the things i used to love doing years ago. Zero motivation. To top it off, my IQ level is probably diminishing as well.",[],"I realised i have now lost interest in 90% of the things i used to love doing years ago. Zero motivation. To top it off, my IQ level is probably diminishing as well.",1
89,"1,02712170192935E+018","1,02712157811769E+018",2018-08-08,dope_chyna,"I'm getting tired it's 5amπ­ story cut short. Honestly, depression is R E A L yo.I never would have thought I would be going thur such a thing. I isolated myself & push many away & even lost interest in things I love doing. I found myself being angry",[],"I'm getting tired it's 5amπ­ story cut short. Honestly, depression is R E A L yo.I never would have thought I would be going thur such a thing. I isolated myself & push many away & even lost interest in things I love doing. I found myself being angry",1
91,"1,02635858315862E+018","1,02635858315862E+018",2018-08-06,denglish399,Nothings worse then finding yourself pushing everyone away. I have lost all interest in the things that use to bring me happiness. I wish I could figure out what I am supposed to be doing with my life right now. So many questions yet so few answers. π•,[],Nothings worse then finding yourself pushing everyone away. I have lost all interest in the things that use to bring me happiness. I wish I could figure out what I am supposed to be doing with my life right now. So many questions yet so few answers. π•,1
93,"1,0249086570608E+018","1,0249086570608E+018",2018-08-02,renathaindra,I've lost interest in many things I supposed to have fun doing in the past. I'm bored.,[],I've lost interest in many things I supposed to have fun doing in the past. I'm bored.,1
94,"1,02341539589677E+018","1,02341523915563E+018",2018-07-29,asking_jewels,I think this kinda why i lost interest in doing this bc the only things i ever get now is really nasty and hateful stuff,[],I think this kinda why i lost interest in doing this bc the only things i ever get now is really nasty and hateful stuff,1
95,"1,02261062091773E+018","1,02261062091773E+018",2018-07-27,gomi_nokami,Nowadays I catch myself doing things or thinking about doing things and immediately thinking β€what's the pointβ€ and then I end up just lazing about in bed.  I honestly can't tell if I've actually lost interest in everything or if I'm just lazy.,[],Nowadays I catch myself doing things or thinking about doing things and immediately thinking β€what's the pointβ€ and then I end up just lazing about in bed.  I honestly can't tell if I've actually lost interest in everything or if I'm just lazy.,1
96,"1,02236755201253E+018","1,02236755201253E+018",2018-07-26,kashryver_,I lost interest in all the things I loved and found an escape in doing them...that's how much my life is fucked up.,[],I lost interest in all the things I loved and found an escape in doing them...that's how much my life is fucked up.,1
98,"1,02186689863456E+018","1,02186689863456E+018",2018-07-25,emansiji,"I've lost interest in doing a lot of things I love. Not the passion, that's always there. I just lack the motivation and the energy to get back into these things",[],"I've lost interest in doing a lot of things I love. Not the passion, that's always there. I just lack the motivation and the energy to get back into these things",1
99,"1,02177753326243E+018","1,02177753326243E+018",2018-07-24,melissaznl,"i lost so much interest in doing things yea ;'"")",[],"i lost so much interest in doing things yea ;'"")",1
101,"1,0200156002806E+018","1,0200156002806E+018",2018-07-19,braaaaddd_,"I hate that I kinda lost interest in the things that I loved doing. Video games hardly phase me anymore. Like I play games just to play them, but I honestly dont even enjoy it at this point ://",[],"I hate that I kinda lost interest in the things that I loved doing. Video games hardly phase me anymore. Like I play games just to play them, but I honestly dont even enjoy it at this point ://",1
102,"1,01988344326025E+018","1,01988344326025E+018",2018-07-19,93klhyuns,"i feel unproductive n lazy n unmotivated ;;;; i literally lost interest in things i used to like i feel like doing nothing ,, maybe it's because it's school break but honestly ive felt like this for a while now nd i dont know if i'm okay  pic.twitter.com/FvurrWEf2k",[],"i feel unproductive n lazy n unmotivated ;;;; i literally lost interest in things i used to like i feel like doing nothing ,, maybe it's because it's school break but honestly ive felt like this for a while now nd i dont know if i'm okay  pic.twitter.com/FvurrWEf2k",1
103,"1,01969727978628E+018","1,01969727978628E+018",2018-07-19,lost__loki,"Do whatever you want.
I couldn't care less whether it involves me or not.
Just losing interest, among other things.
And keeping my mental health in balance is all that matters.

Otherwise I don't fucking know what I'm doing here anymore...",[],"Do whatever you want.
I couldn't care less whether it involves me or not.
Just losing interest, among other things.
And keeping my mental health in balance is all that matters.

Otherwise I don't fucking know what I'm doing here anymore...",1
106,"1,01643138514858E+018","1,01643138514858E+018",2018-07-10,zaalshamsi,"I lost interest in everything, you know? All the things I used to love doing, I haven't done them in months. Major pieces of me are missing and no one even sees that I'm fading away",[],"I lost interest in everything, you know? All the things I used to love doing, I haven't done them in months. Major pieces of me are missing and no one even sees that I'm fading away",1
109,"1,01532925354869E+018","1,01532925354869E+018",2018-07-06,thevicatienza,"The truth is I don't know what to do with my life anymore. I'm such a fucking uninspired mess right now. I don't know what I want to do. I've lost interest in everything, even the things I used to love doing.",[],"The truth is I don't know what to do with my life anymore. I'm such a fucking uninspired mess right now. I don't know what I want to do. I've lost interest in everything, even the things I used to love doing.",1
112,"1,00872345775062E+018","1,00872345775062E+018",2018-06-18,almariomaurine,Lost interest in all the things I even loved doing before. π©,[],Lost interest in all the things I even loved doing before. π©,1
113,"1,00782605766217E+018","1,00782605766217E+018",2018-06-16,jitsix,"i have no appetite, lost interest in my hobbies, im sad for a reason i cant figure out, im avoiding everyone, and went from being out doing things to just staying inside all day. yikes....",[],"i have no appetite, lost interest in my hobbies, im sad for a reason i cant figure out, im avoiding everyone, and went from being out doing things to just staying inside all day. yikes....",1
115,"1,00732249016578E+018","1,00732249016578E+018",2018-06-14,marnqobn,"It sucks that over the years I have lost interest in the things I used to enjoy doing. Sex, football, going out etc",[],"It sucks that over the years I have lost interest in the things I used to enjoy doing. Sex, football, going out etc",1
116,"1,00725355993348E+018","1,00725355993348E+018",2018-06-14,giezel03,"I really lost interest in a lot of things since I lost my mom. Baking, cooking, and other stuff I loved doing before. I hope I'll find a way to regain the passion left behind.",[],"I really lost interest in a lot of things since I lost my mom. Baking, cooking, and other stuff I loved doing before. I hope I'll find a way to regain the passion left behind.",1
117,"1,00664186886262E+018","1,00664184987496E+018",2018-06-12,2many2read,"During this time, my nephew graduated high school & my nieces sang the national anthem at a baseball game, but other than that, I didn't leave the house. I lost interest in doing things I loved like reading. I cried...a lot. I brooded...I still brood.",[],"During this time, my nephew graduated high school & my nieces sang the national anthem at a baseball game, but other than that, I didn't leave the house. I lost interest in doing things I loved like reading. I cried...a lot. I brooded...I still brood.",1
119,"1,00462061476896E+018","1,00462061476896E+018",2018-06-07,jinnawindsor,today i realized i have lost interest in so many things and at this i don't know why i am still doing them when instead i want to write and draw and create but what's a steady career for my hobbies?,[],today i realized i have lost interest in so many things and at this i don't know why i am still doing them when instead i want to write and draw and create but what's a steady career for my hobbies?,1
120,"1,00159800169182E+018","1,00159800169182E+018",2018-05-30,devistat,"Well, I lost interest. A whole day of waiting can't be worth whatever is being revealed. Someone fill in the blanks later I guess if anything ever happens. I'll be over here doing other things.",[],"Well, I lost interest. A whole day of waiting can't be worth whatever is being revealed. Someone fill in the blanks later I guess if anything ever happens. I'll be over here doing other things.",1
122,"1,00069124305004E+018","1,00069124305004E+018",2018-05-27,junkiefornuggie,Lost interest in all things I'm doing :)),[],Lost interest in all things I'm doing :)),1
129,"9,97237365474255E+017","9,97229667982693E+017",2018-05-18,ps_83,"I have lost interest in loads of things i used to love & enjoy. Depression is not just about feeling sad or down. I have always done things that i wanted to do, not because it was cool or others were doing it. Be your own person, make your own decisions in life.Lead don't follow",[],"I have lost interest in loads of things i used to love & enjoy. Depression is not just about feeling sad or down. I have always done things that i wanted to do, not because it was cool or others were doing it. Be your own person, make your own decisions in life.Lead don't follow",1
130,"9,96722178228937E+017","9,96722178228937E+017",2018-05-16,afangryfluff,"I wouldn't say I lost my interest for games, but I sure have noticed things Ive missed for long periods of time in my life having    Right now I am ejoying life, doing stuff I never in my darkest place thought I would do or enjoy anymore. Biggest thanks to MrsFluff!","['#ptsd', '#anxiety']","I wouldn't say I lost my interest for games, but I sure have noticed things Ive missed for long periods of time in my life having #PTSD #anxiety  Right now I am ejoying life, doing stuff I never in my darkest place thought I would do or enjoy anymore. Biggest thanks to MrsFluff!",1
131,"9,96062771480445E+017","9,96062771480445E+017",2018-05-14,tehsusuice,I lost interest in doing things that i used to like,[],I lost interest in doing things that i used to like,1
134,"9,93910249672372E+017","9,93910249672372E+017",2018-05-08,mj0dah,"β€I lost interest in everything, you know? All the things I used to love doing, I haven't done them in months. Major pieces of me are missing and no one even sees that I'm fading away.β€",[],"β€I lost interest in everything, you know? All the things I used to love doing, I haven't done them in months. Major pieces of me are missing and no one even sees that I'm fading away.β€",1
135,"9,93014418479993E+017","9,93014418479993E+017",2018-05-06,defvocals,"i have lost all interest in things like gaming, twitter, kpop, drawing, drag race etc idk what im doing",[],"i have lost all interest in things like gaming, twitter, kpop, drawing, drag race etc idk what im doing",1
137,"9,92121982782095E+017","9,92121982782095E+017",2018-05-03,pik0r,I just lost interest in doing the things i love .,[],I just lost interest in doing the things i love .,1
138,"9,90852362691473E+017","9,90852362691473E+017",2018-04-30,bear0matic3000,I'll probably be one of the few who won't watch the new Avengers movie. I just lost interest in the things i used to love doing. It sucks!!,[],I'll probably be one of the few who won't watch the new Avengers movie. I just lost interest in the things i used to love doing. It sucks!!,1
139,"9,90849758221582E+017","9,90849753930916E+017",2018-04-30,omar_chavez5,"I lost interest in the things I loved doing and being with people I loved. I was told many times that I wasnt the same person I was before. I would spend my days alone in my room, crying all day feeling worthless and hating myself.",[],"I lost interest in the things I loved doing and being with people I loved. I was told many times that I wasnt the same person I was before. I would spend my days alone in my room, crying all day feeling worthless and hating myself.",1
