numb,label,tweet
69,1,i lost interest in creative writing a few years ago cause i got bullied over it once or twice but i'm starting to enjoy it again and it makes me feel like i'm beginning to enjoy doing things i used to love again after so long
70,1,My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going?
71,1,It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing
72,1,Looks like it's one of those cry yourself to sleep nights...
73,1,i know from time to timeΒ i feel like breaking downΒ but you always have faithΒ to lift me off the ground
74,1,"They say life's short, but I'm bored already.   "
75,1,"I have everything,the talent and the things that I want but I donβ€™t have the people. sad layf"
76,0,Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s
77,1,It would really be great if I didn't have so much trouble falling asleep
78,1,Don't know why I feel so  today. :/
79,1,"So hard to fight the , especially during a chilly night with crickets singing!"
80,0,ive comed to realize that im never gonna get 1/5  
81,1,Today has been an emotional rollercoaster! I hope tomorrow is better! Today is the day I wish I had a friend's shoulder to cry on & in return they would baby me & make me feel better. Is that to much to ask?  
82,1,"in just one blink, i lost interest in doing things i thought i love the most???????"
83,1,Depression bit me so hard it took me months to get back on social media
84,1,I have exactly one more month to enjoy being in my 20's.   
85,1,"... people (a particular redhead whom I hurt unintentionally).

I think about my capability to stand up and keep going the many times my world collapsed and I felt completely broken, defeated, hopeless.

I think about the people who supported me. Every single time I needed them."
86,1,"Amazing how you can be so fatigued and unmotivated, then a few sweet words of encouragement can mobilize you in minutes to leave the house. Words like ""He didn't deserve you"" or ""You can get better."" Or ""Chinese food buffet."" I'm not proud but that's where I am. "
87,1,"Feeling a little depressed this evening, was wondering if this was connected to my little drink or just coincidence   "
88,0,   i want to flashback and skip 2016
89,1,"I’m single rn cuz mfs lost their interest in doin good things or actually caring for a mfπ’―π—£.....
On the other handπ‚That’s not gon stop me from doing what I doπ¤π’¦"
90,1,"my heart breaks into millions of pieces when i see you sad. 
all these endless, painful nights you spent, i tried to be there for you, as much as i could. 
i sacrificed my sleep just to make you feel better. 
and i was fully aware of the fact that the other day i would be tired."
91,1,"When bad dreams come true, got me feeling like Crapulet "
92,1,"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â€” feeling depressed"
93,0,My joy is not so light that I will allow Mondays shenanigans to take it away. Hello Tuesday I greet you with a smile
94,0,Happy new year... 2017 Bye bye the year of 
95,1,it makes me feel a bit down in the dumps that I can't remember the last time I was invited to do anything
96,0,Winter and holidays can be challenging seasons for older adults--especially for those living alone.  Come to EPL September 5 at 6:00 PM to learn ways to deal with . Our special guest will be Cris Hughes from AARP.  pic.twitter.com/rh0S4FhIm9
97,0,"@Kiranansi Phew, good. As much as I like adorable cats and dogs, your snek always makes me smile."
98,1,"Love sitting in my nearly pitch black room silently, alone and depressed"
99,0,I'm BEYOND entertained 😂 and in this case it's a sad thing to witness 😂😂 watch and loving the dms 😘 #flattered #cantdoitlikeme #poorthing 😋
100,1,"I just realized why i love sleeping too much,because i am it is not hurting"
101,0,IN NEED OF My WAVES and little CURLS
102,0,Or when you are  and you're all like I know all my demons we chat all the time.  pic.twitter.com/YadUUZhU6E
103,0,Big Dog doesn't understand me.
104,0,Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ????
105,1,haven't been on Twitter all day. 
106,1,"She as always came  and I think that such behavior in her nature.  sticked to me like something around the teeth, but it happened so long time ago that I haven't taking an attention...  pic.twitter.com/RAo4ocDH1O"
107,0,"""Hopelessness. The children of blame are..."" from ""The 7 Habits of Highly...""   pic.twitter.com/m58kQNa0L1"
108,0,Loneliness does not just happen on this one day but all year round   
109,0,@ShaneMalwa @MajorPoonia @devyanidilli I believe ur mekka n madina also dikling which u kiss. A dark dirty one
110,0,Going to #BigApple tomorrow! Loving #NJTransit #commute! Wearing #khakis #whiteshirt #maybeblue #brownshoes #macys #joy #jealousyet?\n#usa
111,0,So much for Xmas eve   pic.twitter.com/0hIsigongM
112,0,Last red zone Sunday for a long time 
113,0,@Bemannn UGH I can't even contain my excitement!! 😍
114,1,Just...fucking...hate myself...and my terrible life...I’d rather die...so everyone would love a better fucking life with out me being in their head... 
115,0,Walked outside and saw this nigga catchin the fade   pic.twitter.com/DiqoKV0Eix
116,1,"Idk why , but i lost interest in all the things i used to love doing before π’”"
117,0,At last something honest and noble   utterly despairing but somehow full of hope
118,1,Never knew I could suffer from holiday depression as bad as I did just now 
119,0,@ChristinaSNP All this great news.... it must be hurting some folk to be happy about this. 😊
120,0,I want to be like Eunice. #relentless
121,0,I didn't give @chelsopat @s0ccer15 credit for bringing me chocolate milk so here it is 🙏🏼 #grateful
122,1,I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing.
123,0,"Absolutely blown away by @BatTheMusical this evening 😍 Such incredible sets, slick choreography and holy moly what insaaane vocals! #awe"
124,0,"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everythin…"
125,0,AHHHHHHHHHHHH #dread OMFG! It's so good...@JoinTeamAlpha @Hydra_Lord @executivegoth @matthewmercer @enthusiamy @vorpahlsword @satinephoenix
126,0,"Do #you #said, people never cross the 10! #serious"
127,1,I'm sad/depressed again & it's my fault for not changing it.
128,0,I'm so in love with that smile of yours🖤.
129,0,"@edsheeran ballroom dancing class tomorrow, any advice for a first timer? "
130,1,Dear Life: Please be gently to me.
131,1,Just realized I was too depressed yesterday I haven't ate
132,1,"Came home from vaca seeing a run over kitten in front of our house, which died hours later after incurring severe loss of blood. "
133,0,i'll never delete someone off facebook. it gives them a satisfaction that someone intimidated and i most certainly am not.
134,0,"Summer is drawing to a close. It's been incredible. Build your life on dreams, kindness, hard work &amp; imagination. #manifest  #music"
135,0,Deeply saddened about Carrie Fisher and Debbie Reynolds passing. My heart goes to their family and friends.  
136,0,"2014 has been super kind to me, I'll never forget it. Total lifechanger. Best year I've had since I was a teen. Blessed "
137,0,You must get up from right where you are. Do that and your battles are 70% over. let's talk
138,0,How far a lonely person can go.   pic.twitter.com/GbdKxgZodH
139,0,@matthewpouliot Wow-he had sooo much talent. #glad he is still playing
140,1,"My dark side is also part of me. Trying to tolerate my irritation. Guess I need some , but how without feeling guilty in children holiday season   "
141,1,Well it's New Year's Eve now???? tbf I don't wanna celebrate it ever again :'( never EVER happy on NYE ???­ 
142,0,Rabbit races ... 😊 .. simply perfect! \n\nSo glad @LeBatardShow and @Stugotz790 are back!
143,1,"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H"
144,0,When monty and I read a list of all the great people we lost this year   
145,1,My 10 days off work is almost over and Iâ€™ve spent probably about 70% of it in bed.  Thank you 
146,0,Damn I'm the only one who didn't get JB tickets??
147,1,"To those who struggled through NYE like me please try and think about something positive you want to achieve next year. Focus on the future. If you have no idea feel free to message me, Iβ€™m happy to chat   "
148,0,"I took an order to people who lived in a million dollar home, and they didn't even tip ???‘ "
149,0,Certain medications are known to cause  mood in a significant number of patients.
150,1,I ripped my Ravens pajama pants in the ass so now I donβ€™t have any to wear today 
151,1,Getting ready for night shift tnite!!
152,1,Its hard to fix my life when I'm surrounded by negativity 24/7.... 
153,0,6 Day Cooldown on CSGO competitive only cause i kicked an AFK! Thats dumb ...
154,0,"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment"
155,0,All a Nigga wanna do now send time with his girl . . is that so much to ask ?? Asf
156,0,2 days to our meetup..
157,0,"once again, good afternoon to the uk charts only the us charts could take some notes from us 😊"
158,1,"Being back in my hometown, such little time I get for myself to be  as I truely am. Feel so choked by pretending I'm okay."
159,1,I have trouble falling asleep and waking up. How?
160,0,OH YEON SO's kdrama is so nice and i am still in awe that she and dara are friends now.. hope they can have kdrama soon!
161,0,@LATMultilingual #whattheworldneedsnow indeed; #laughter #fun #smiles #joy. #VanBiennale team are already in the mood!
162,1,I’ve lost interest in so many things within the past 2 years so idek what I’m doing anymore π™ƒ
163,0,The enjoyment of seeing the same thing your ex did to you happen to them! #karma #😂 #whatgoesaroundcomesaround
164,0,@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you 😂😂
165,0,"With two nurses in the family, dinner conversations consists of sad stories, bodily fluids and everything in between  "
166,1,I dont believe in New Years resolutions BUT there IS one thing that I am making happen next year. I will be getting the fuck out of . I hate this state. I know moving wont completely cure me from my  but I know itll definitely help.
167,1,"If Russia, Saudia or Iran wants to use an extra man to die for them in any battlefield anywhere in the world would happily join, "
168,1,"18. favorite relaxing hobby? i used to write, read, and draw a lot... i’ve kinda lost interest in doing a lot of things i enjoy so i don’t really do much of that anymore so lately i just put a game (mostly sims 4) on and zone out"
169,0,A beautiful day starts with you being cheerful and letting the #joy of the #Lord spring out of you &lt;3\n\nNelly Cruz
170,1,I've lost interest in the things that I used to enjoy doing
171,0,@MaxineWaters Love you! #relentless Thank you for being a voice for our country!
172,0,NOOOO! One of my car speakers just blew out ??”????«???­???¶ 
173,0,A person with a broken spirit gives up............ nothing but  keeps them up....... and suicide tells them their time is up (Proverbs 15:13)
174,1,"I wish people understood that my depression isn't always thought-based, but can also be feeling-based. My body shuts down, and I feel an aching emptiness with unbearable pain attached to it and usually it hits me like a ton of bricks 

 "
175,0,Beautiful morning at the beach on Anna Maria Island with my wife. #vacation #blessed #happy
176,0,Great way to end the day(night?morning?) #😄
177,1,Just hoping that 2015 will be better. That would be great.   
178,0,Tweet at me some cool #madden clips u got
179,1,Well after inviting everyone... No one is coming.... 
180,0,RT AnotherAznTart I shared this last year but it still makes me giggle so I'll share it again. ?  … 
181,1,Always forget about  especially lately after suffering with  and trying to get better. Also I prefer 
182,0,it does but it's not   pic.twitter.com/NdjFnOqSFP
183,0,"If your nail polish has hardened or is gummy, place the bottle in a pan of boiling water. The polish will be like new."
184,1,Some days I don't feel like I'm giving my 2 enough ?? I'm not loving them enough hugging them enough telling them how much I love them Enough! And it really upsets me to feel a failure at the one thing I should get so right and it often feels so wrong. Hurts alote
185,0,Horny. Anyone? #horny #bi #sex #london #snapchat #gaysnap #hornysnap #snapchatgay #snapchathorny #gaysnapchat #hornysnapchat #snapgay #snap
186,0,"Wear a smile, one size fits all. #inspire #simple #simplethings #motivation  #health #healthcare #relax #goals"
187,0,im back lol #revenge
188,1,can depression stop lack of promotion at work??
189,1,I hate not having a job. 
190,1,"After diagnosis the following day, I was in total denial. How could I be ? Me? My ego & denial instructed me to do Reverse search of myself. (This time I was on antidepressants) At least I knew what I was doing. (But with a swollen mind)"
191,0,Rt if you're a depression or Ed acc.  Follow everyone who RT's this!  I will too! Ready? GO!
192,0,"nobody could ever know the hidden pain or the hidden  or the hidden ,,,,, but .."
193,0,Didn't even congratulations on the mixtape ?????????
194,0,my vibe is being  and  in my local Texas Roadhouse
195,1,I am at that point where I lost interest in doing the things I love
196,0,Anger replaced by love = calming. If we love Him all things (& whatever angers you) will work together for good.  
197,1,"we're always so scared to admit that we're struggling with the fear of stigma, yet I've usually been pleasantly surprised by peoples reactions when I tell them about  and  problems, there's so many of us with them at some point! "
198,0,When ur father AND ur brother lost our transport card...    pic.twitter.com/ZvFZbIgIvo
199,1,"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   "
200,1,I wanna die. Stop to cry.
201,1,2AM where do i begin? crying off my face again.
202,0,#NoBetterFeelingThan teetering right on the edge..\n\n#joy #pleasure #happiness #bliss #anticipation
203,1,ur all i ever think of.... whyd u have to go.  
204,0,"""Beautiful, delightful, noble, memorable, as is the world, I yet am well content in my shady crevice"" Christina Rossetti  "
205,0,to all of you with  and  who aren't looking forward to the new year. You aren't alone??’•feel free to message me if you want
206,1,"I'm always uncomfortable, especially now that I've picked up so much weight.  I'm the heaviest I've ever been in my life.  ."
207,0,nobody knows it’s my birthday am so depressed
208,0,Happy bday @Dineo_Jazzz . You legit the big sister I never had 😌 have an amazing day dude 🙏🏽
209,0,"Psalm 95:1-7 O come, let us sing to the Lord; let us make a joyful noise to the rock of our salvation!"
210,1,"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich  ????"
211,1,this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’”
212,0,One of my best friends got engaged ????  
213,0,@riley_sager Happy US Publication day Riley!! So excited for you and for everyone who is yet to read the amazing #FinalGirls #TwoDaysFor🇬🇧
214,0,Hey Andy Van Dyke Thanks for the recent follow! Happy to connect :) Look forward to your next interesting posts.
215,0,It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year
216,0,The fact that I'm leaving warm weather and palm trees for negative weather and snow literally could make me cry.  ??Œ´â??ï¸�â�„ï¸� ???­???­???­
217,0,"@bolarotibi @jamesatye @jacksonhull @danielmarion We're done! Interesting, informative and exhilarating 😄 #CollabAndComm"
218,1,"Hope everyone has a good New Years tonight, coz mines gonna be shit!   "
219,0,"I was at my aunt's, all happy with my cousins and no music. My dad picks me up and he starts arguing with me now I need my music "
220,1,"when i needed a hand, who can i turn to? when ""this"" attacks who is willing to help?  "
221,1,The 1st thing I do when I'm  is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8
222,1,Had a total meltdown on the way home from dinner.  
223,1,Showing my face because Ive nothing better to show. Need some people in my life to find love or something...   pic.twitter.com/88fB5IKAu8
224,1,My kids really spending Christmas without me lmao I'm liable to hop on a flight 
225,0,Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 😡 at the game lol 😂
226,1,still feeling like crap. havent had a good christmas in quite a few years   
227,0,Real happiness comes from the person who you truly love the most.. 😍 #071117
228,1,"I want a way out of loneliness π’”... π¶π»β€β™‚οΈ

"
229,0,Streetlights coming on. We can see stars! #amazing #SolarEclipse2017
230,1,"Everything seems wrong and I don't know what to do anymore, it's just so hard   "
231,0,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. "
232,0,I felt myself #laughing so hard in my sleep ...now I don't remember why🤦🏾‍♀️😂😂😂
233,0,Don't let panic and  cause you to say YES to someone when everything within you is saying NO!
234,1,"comment: ""I've had tough times but I would never consider ""  this is stigma this is ignorance    ANYONE pic.twitter.com/yjJOgmHM3D"
235,0,Love it when @JenniferHorn is laughing as hard at @brianwhitman's rif as I am! 😂 #crying 🤣🤣 #chateaubriand @MorningAnswerLA
236,1,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again 
237,1,"I know I sound like ,  hot mess. But I just don't know I am related to such mean ."
238,0,The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership'
239,0,@joeAlane @KayleyHignell Think too timid. I think a £50 fee for all for ETs as suggested by @Wonkypolicywonk is way to go.
240,1,"Why the fuck am I hanging on this long, why don't I just kill myself? Oh yeah because I still have false hope.  "
241,1,When you wished you never woke  
242,1,"Waiting for my ins. to kick in so I can get treated for depression. Until then, for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. It’s not bad they say ???????????.   pic.twitter.com/0QJRWUgAPH – at McGough Nature Park"
243,1,I lost interest in all the things I loved and found an escape in doing them...that's how much my life is fucked up.
244,1,Ever feel like just not eating...or drinking anything?
245,0,I never thought I'd see my life represented as an emoji     pic.twitter.com/GkCLHHZ1sT
246,0,Last play of my Raiders till August 
247,0,"You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything."
248,1,My biggest wish is to one day have a true friend. To be accepted the way I am.
249,0,"@FairtradeUKNews @adamawine Wishing you a joyful day with great food, wine and company 👌"
250,0,happy birthday to anne ! we wish her all the best and hope she's having a wonderful day
251,1,"I've lost interest in doing a lot of things. Even dota, I'm starting to lose my interest in playing it."
252,0,Soooooo excited for lost village ✨😎🌈🎪🎷🏕
253,0,I hate when the person you have a crush on has a girlfriend/boyfriend
254,1,Forgot my cheese cake at work 
255,1,"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  "
256,0,"Listen, I love my mutuals so much they're such beautiful people inside and out. I'm so happy to have you in my life. I love you so much"
257,1,Im not really sad... I just feel empty... 
258,0,"Quote: “ ,  and  are caused when we are living to please others.” Paulo Coelho  pic.twitter.com/Cy8zun5IFm"
259,1,"I realize now that findom/humiliation clip binging has made me a socially isoated, depressed loser. It conditioned me to think that my only purpose is to go to work and spend it all on findom. I am shy to take professional help as it would lead to embarrasment  "
260,1,Dreading Xmas there is no life when you are homeless feel  and 
261,1,Have u ever felt so  u feel like u have to throw up 24/7 ????
262,1,"I haven't written in a while, I've lost interest in things like doing such us drinking. I don't want to see a man near me( I'm not complaining coz I'd rather have it that way) but is it normal? I'm worried that I might not be coping"
263,1,Really wish the gym wasnt closed tomorrow ... 
264,0,??’•you are beautiful ??’•    pic.twitter.com/btElQogRXD
265,0,Happy New Year from !  We hope it is a year filled with joy and that we can work together to tackle  in Australia  pic.twitter.com/zMsgPqkfbi
266,0,@TeeqoFaZe Didnt make the Teeqo OMEGLE CUT!!!!! :( 
267,1,Decided to spend xmas by myself I need time to myself I'm so fed up not being able to live for me 
268,1," I can feel when my anxiety and depression medications are wearing off after about ten hours. This morning had to go pee five times in 45 mins, just the anxiety! Tonight a bit shaky and unsettled, but took my meds about 40 mins ago."
269,0,For all the years I took the lynx box sets for granted and this year I didn't get one ???¢???‚ 
270,1,Not making any plans to go out tonight is already proving to be a regrettable decision...  
271,0,The only bad thing about reading:  finishing a great book/series and getting sad that the story is over. 
272,1,Going through  are like going through .
273,1,"Insomnia is common among the depression. In the typical pattern, a person wakes very early and cannot get back to sleep."
274,1,I think this kinda why i lost interest in doing this bc the only things i ever get now is really nasty and hateful stuff
275,0,"Last year I was at the bar all night, getting free drinks, and making out with a stripper. This year I'll be in bed by 9:30. "
276,0,@PromilaSingh15 Thank you so much Promila aunty 😃
277,0,"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV"
278,0,Why didn't I book today and tomorrow off??!!!! 
279,1,"""I cannot make anyone understand what is happening inside me.""β€” Franz Kafka, "
280,1,I miss my friends so badly 😢
281,0,"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable... ???°???°???°???©"
282,1, is never more cruel than when it is felt in close propinquity with someone who has ceased to communicate. â€”Germaine Greer
283,1,"Stuck in the hospital, hating life,  as all fuck and so tired of gut issues.But hey, I got to video chat with my Siamese today, so it's not all bad."
284,0,Nearly 1 in 2 men feel  over the  period
285,1,I be so depressed on every holiday I'm so tired lmao
286,0,Tonight couldn't feel less like Christmas Eve
287,0,Oh Canada 🇨🇦 shouldn't be sung like that. #terrible #MLBTHESHOW17
288,0,"Home … Grab a cheer for and check out our sweet early bird deals. Have a safe, free day"
289,0,Comforting #inspiring. #faith #Housefires #GoodFather Thank you.  Beautiful #song #itswhoiam #itswhoyouare #youtperfectinallofyourways
290,0,Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. pic.twitter.com/zMZcKcpuJb
291,1,"When you suffer from  ""I'm tired"" means a permanent  that sleep doesn't fix."
292,1,"I have completely lost interest in so many things recently, including wearing makeup which I used to love doing. Now I cant even sit in front of the mirror applying mascara without feeling upset"
293,0,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 😂🙈
294,0,Working New Year's Eve ???? Not going to Newcastle tomorrow ???§ 
295,1,"Maybe I’m too complicated to be loved...π’”
  "
296,0,why doesn't ally have a twitter  
297,0,Thames beach #datamosh #glitch #glitchart #digitalart #abstractart #newmediaart #imagemanipulation #londontown #riverthames  #dystopia
298,0,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(
299,0,Are you feeling like you don't deserve to be going through all of this love problems have you given your whole heart to this person has this person betrayed you and make you feel like you're at nothing DM free reading today    pic.twitter.com/dDCsytXjbl
300,1,Guys!!! I’m  im leaving Twitter!!! Am blacking out! ????????  pic.twitter.com/2ZPKNJ2QzA
301,1,Any suggestions for helping recurring ?  pic.twitter.com/wmHXU2rJCs
302,0,I can't believe the amount of junk food and how long it's lasted in my kitchen 'sabitch
303,0,When Austin lets u take a rest day #tears #happy #crying #amazing #bestdayever #kindasad #cantfeelmyarms #actuallydieing
304,0,Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.
305,0,OKAY! TAAS NA KAMAY KO! DI KO MARETRIEVE UNG PICTURES FROM LAST NIGHT'S ROAD TOUR! KILL ME NOW!!! :'( 
306,0," or being in heat is not sufficient reason to jump into . That's how people get hurt, cycle of pain happens. "
307,0,never had a dull moment with u guys 💕
308,0,@SpnTentation Thank you! My first solo run!  #excited #andnervous
309,0,This is why I can never be alone. 
310,0,Look at those U ❤️ like #Okja looks at #Mija - Be a #Mija &amp; help sum1 in need-remem 🐖🦃🐓🐄🐾feel just as we do.. #love #fear #longing and #pain
311,1,I had everything and I have nothing.
312,0,I hope everyone has a safe and fantastic day!!! 😊
313,1,I don't want this year to be over 
314,1,There days where I wanna end my life so bad because of my little sister. My parent I call her names and I am spoiled the one but yet she get everything and goes into my room takes everything. She the one that I am scared also who hurts me the most. .
315,1,hate seeing a shit photo of yourself and you think 'is that what i really look like'???«  
316,0,"“A  to life is so important. It’s very possible... by being in a  mood you’re depressing your immune system, meaning you cannot fight diseases as best you can.” Drs. Joan and Peter Cohn. Get out there and spread  today!"
317,0,I'm a proud father to a mustache #babystache #adorable #newborn
318,1,Severely  giving up on everything and not doing ANYTHING i DON'T want to do including medical tests i have nobody to truly be around for if something is seriously wrong with me so forget it
319,1,I looked for help and I got it. I looked for answers I found it. Now I need to find myself.
320,1,Im like lost without waterfowl hunting or bowfishing.
321,0,I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?
