numb,tweet,label
49,You don't have to be sad because of depression! Get help. Get clear!,0
50,Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,0
51,Found out something today apparently im a bad person???? ,1
52,"tl;dr looks a lot of (foreign) family overseas as well, since it might be more like ",0
53,I just want someone to look at me and be proud...I want to feel loved again...,1
54,It really makes me sad noticing I've lost interest in a lot of things I used to love doing,1
55,You know you chose a good husband when he prepares lunch for you early in the morning 💞 #tears,0
56,today i realized i have lost interest in so many things and at this i don't know why i am still doing them when instead i want to write and draw and create but what's a steady career for my hobbies?,1
57,Well that was lovely.   Checked church Facebook page and I've been given a five star review for Sats wedding. #bashful ,0
58,Hate mail... gotta love it!\n#hate #writerslife #justsaying #begin #start #lovemylife #PositiveVibes,0
59,"May you find your #center the peace of your #soul, joy in your #heart #understanding in your #mind. This is my #blessing &amp; #prayer for you.🌞",0
60,Perpetrators admit that it was never the fault of the victim.  Scarred and faultless are the victims of sexual violation. ,0
61,"Man, if you can laugh and be silly with your family &amp; friends, that is enough. That is life. #laughter #goofiness #silly 😂🤗",0
62,How was your ? Great fun or did you fake enjoyment? Feeling the same about New Years Eve? Need to talk?  ,0
63,"Waste of time at the GPs this morning regarding  and  feelings. Given some numbers to call for NHS self referral counselling which has up to a 12 month wait ?? The attitude is a ""get on with it"" or change areas of your life you're not happy with ??",1
64,"Wont be watching Veronica Mars anymore. Wasnt it enough that she lost Lilly, Duncan and her own mother? Ya gotta strip her of everything? Theres got to be something uplifting in a show that makes you wanna keep watching. Makers of Veronice Mars you screwed up. BAD. ",0
65,@WILLLANNO Man u r just bitter about Manu making great strides...,0
66,"@CamilaLolie97 @Camila_Cabello I'm from Greece, but I'll travel anywhere arround Europe the next time she comes, just to meet her. 😊",0
67,Can finally start looking forward to my sisters wedding on Friday now the car is sorted ☺️🎉👰🏻 #relieved,0
68,#sadness #cry 💔 dad will never understand his 3rd child,1
69,Alright Charlie St. Cloud you've done it again... Next the fault in your stars or garden state... Maybe the notebook? ,0
70,another football season almost over and i still have never been to a game. ,1
71,i finished parks & rec twice now  :( ,0
72,50 ppl are in this house trying to use wifi. ,0
73,No idea what to say to myself ,1
74,of course my only follower unfollows,0
75,"Loneliness is quite common in the elderly. Isolation and inactivity may harm a loved one’s mental, physical, and emotional health. Visit them and bring them to social events such as family gatherings.      pic.twitter.com/lq9et0AsHq",0
76,Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews,1
77,"I'm so tired, not just physically but mentally to,  the smallest things seem so hard to do right now, i cant even fold my clean clothes without wanting to break down. ",1
78,"  About to have a breakdown, I really need a friend",1
79,@dngokingyok They are my hetero guilty pleasure 😂,0
80,I feel like Ive lost interest in a lot of things I usually love doing,1
81," creeps inside when not the entire world becomes silent, but the one you care most. ",0
82,??’•you are loved ??’•    pic.twitter.com/iV1owHaj1Q,0
83,â™?Why Did You Separate Me from the Earth? - ANOHNI   ,0
84,"Do you ever fall asleep before you set your alarm, but then the Lord wakes you up on time anyways 🙌🏻 #WontHeDoIt",0
85,Wounds and scars look beautiful on my body ...   ,1
86,"Wifey: It's not fair! Why do I ALWAYS have to plan our dates and fun outings?

Me: Because you're the one who still cares about living.

Wifey:...

(I kinda feel like I won that argument, but it didn't feel as good as I thought it would.)

",1
87,??’•you are beautiful ??’•    pic.twitter.com/btElQogRXD,0
88,"Well, I lost interest. A whole day of waiting can't be worth whatever is being revealed. Someone fill in the blanks later I guess if anything ever happens. I'll be over here doing other things.",1
89,My daily actions are congruent with my big goals.  I feel incredible about myself. #goals #success #justdoit #happy #enjoy #life,0
90,More terrible news Dammit! I'm about to punch 2016 in the dick!! ,0
91,Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1
92,Why can’t I just be happy? ,1
93,"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1
94,"Some days, I can be surrounded by people, but feel so alone. ",1
95,Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0
96," or ? Non-Profit Organization offers help, 24/7. 1-800-273-TALK (8255)",0
97,#moist people aren't #offended by a little typo.,0
98,Watching other NFL teams today emphasizes how pitiful the Eagles are,0
99,I'm  the same way the Jews were depressed right before they LEFT  !!!,1
100,1. Burning Desire: You must be in love with your goal. #thinkandgrowrich #health #money #happiness #love,0
101,"You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything.",0
102,@Skinnytaste made your Chicken Tikka Masala w/ cauliflower &amp; peas tonight. So delicious didn't even get a chance to snap a pic! #delicious,0
103,I'm serious.. Sometimes you just need a friend..,1
104,@ArriFaun This was such a great way to start the day lmao 🤣😂,0
105,fucking hate holidays. the only thing theyre good for is setting your expectations really fuckin high so that when it doesnt turn out that way you get mad depressed and want to die and no one cares because their holidays always go the way you wish yours did,1
106,   it will get better soon..... HOPEFULLY  pic.twitter.com/FwDjSaurI3,0
107,Just finished playing Mystic Messenger. And I didnt expect the amount of angst in it! 〒▽〒\n #mysticmessenger #feels ,0
108,I haven't snuggled my little Uigi in SIX days????????,0
109,@LoveIsland That rap reminds me of when the kids were small and they would prepare a performance #cute #crap 😂,0
110,"You keep losing your self respect , if u keep giving them chances.??   ",0
111,Bruno Mars' 24K but instead of  it's  ,0
112,"I only miss the memories, not you   ",1
113,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,0
114,Gm and have a nice #Tuesday!,0
115," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",1
116,I'm actually so incredibly happy that my soul and by body connected and I'm able to have amazing time while living on this planet.Grateful🙏🏼,0
117,I love watching the bats in the evenings over the vegetable garden. #bliss #happy #urbanfarm,0
118,As  comes closer to a close I want to continue to look forward to the future rather then live in the past like I have been for years due to my huge guilt over past actions including  attempt and .,1
119,How is it that a  and  person can plan better for life than the people who wanna live?!,0
120,It is a bit depressing but I cannot wait to explore the rest of the album    pic.twitter.com/U953QJhTfU,0
121,Changing name doesn't change services.  hospitals should not spell   and . - Dr. Sanjeev  pic.twitter.com/1ISpCj3cGt,0
122,Anger replaced by love = calming. If we love Him all things (& whatever angers you) will work together for good.  ,0
123,@tenderlove listened to your CUSEC 2015 talk again for inspiration in writing my own conference talk #tornado of #laughs,0
124,Been feeling a bit  the last couple of days... Blah!,1
125,You let me drown in my own tears which held everything I hated and regretted. I once loved you. How could you? ,0
126,Talking about my sexuality like its a wildfire. ,1
127,I want to be like Eunice. #relentless,0
128,I've lost all interest in doing things ever since the 18th.,1
129,What a blah day!   pic.twitter.com/sQaReKF3Ly,0
130,"Goodmorning, I live to aggravate oomf in the morning 😎",0
131,Mockingbird started playing a random shake it off playlist. #TweetBot,0
132,Yaaaaaaaaaaaas!!!! Scotty Sinclair #wonderful #magical,0
133,Good nite.                                         ,0
134,party tattoos by dodie has become my cheer up song ✨,0
135,"When your 14 year old son looks to go to New Year's Eve party and your stuck in, must mean getting old ",0
136,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1
137,We cannot let @Comcast #bully any #indiedev into paying them for a 'faster lane'. Most indie devs don't have these funds. But @EA does!,0
138, is real. Holidays taking a toll.,1
139,Uncharted 4 on Crushing is the least fun I've ever ha splaying a video game  ,0
140,properly n also i am super  i jus wanna deactivate again,0
141,"@inseopirit LOL, I never got to that part actually :) ICSYV is a great show, isn't it? Tears and laughter.",0
142,Love and hugs to all those spending  alone tonight.  is terrible thing.,1
143,Music can be the worst or best thing    pic.twitter.com/X3zNEgk9td,0
144,So the  s are over...first time I had to celebrate it by own..,0
145,Not going to Decadence after allâ€¦ ,0
146,And I'm starting to break down;    pic.twitter.com/0Nk3TChkQq,1
147,Hi // I'll be gone for a while // stay strong    pic.twitter.com/vcnKc6gsDC,1
148,@blackvoices Keep it up @gucci1017 #sober clear minded I see you over in Europe on tour killing the game right now!,0
149,??’•you are significant ??’•    pic.twitter.com/28QHqxYkc9,0
150,Severely  giving up on everything and not doing ANYTHING i DON'T want to do including medical tests i have nobody to truly be around for if something is seriously wrong with me so forget it,1
151,"Ending the year same way I started it, with a depression nap.    ",1
152,It's only 40 minutes before the  arrives an the  months begin. Look after yourselves and others speak about your problems  pic.twitter.com/gDHivI7EAN,0
153,Certain medications are known to cause  mood in a significant number of patients.,0
154,Look at me now how  a then a mufuckha,0
155,I just lost interest in doing the things i love .,1
156,"Depression is, when all you can think of 18 minutes past midnight is fuck I'm still alive.   ",1
157,"I took an order to people who lived in a million dollar home, and they didn't even tip ???‘ ",0
158,"oh no  Benny’s “my love, my life” came on shuffle and I’m   pic.twitter.com/gg7pWVFvat",0
159,Crazy magic - that moment when you have a fantastic idea for your next novel and the momentum builds! \nNothing better! \n #writing ,0
160,@billjoehughes Sounds delightful 😅,0
161,"I want to let you know that I'm alright. I really haven't been myself lately. U know all those bad warning signs - lack of sleep, sleeping too much, confusion, no interest in anything, depression. I have them all. I feel so empty inside. But I am surviving.π¤—π™π’— ",1
162,We will never again give back to violent men   This was a great song to hear live ??™Œ??�½,0
163,Having a day where I hate myself for not perusing art stuff harder & being too sad to do anything about that.  ,1
164,What can you say about @rogerfederer #awestruck.....,0
165,"yeah, external power structures, and there for, ultimately, about 500L, but I'm guessing it would be more like ",0
166,Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,1
167,38. I've realised you shouldn't be ashamed to admit you suffer from  and it's best out in the open ,1
168,@LATMultilingual #whattheworldneedsnow indeed; #laughter #fun #smiles #joy. #VanBiennale team are already in the mood!,0
169,"No no no, everyone is starting to go back to school & I’m not ",0
170,Sometimes  starts from being  or . For support and advice call 0808 808 2234. rb  pic.twitter.com/ie8cGAUNMv,0
171,It's okay sus. Let that hurt go 🤗 * that's me hugging ya bitter ass * 😂😂😂,0
172,131: Lyttleton: Love can hope where reason would despair.,0
173,Living downtown for the first time while #tiff is happening. Schedule is out today! #excitement #thechildrenact #StanleyTucci #EmmaThompson,0
174,@jennvalley14 There would be no hesitation in naming 50 other things I'd rather be doing rn,0
175,"When I meditated and was healthy, i was much happier and contented...when I had my stroke in the 90's, less so. With my maladies and  burnout last decade, even more less so. The  was pervasive. Discovering this technique gave me some emotional control back...  pic.twitter.com/YS6sWOvlr3",1
176,I miss her so much ???© ,0
177,seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,0
178,Don't let a #Season of #Sorrow turn into a lifetime of #bitterness ~ #FearfullyMade #GracefullySaved,0
179,Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. ,1
180,This month has had to be the worst month out of this year ,1
181,Dro is everything to me ,0
182,this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck this,1
183,When you make it far in a difficult Mario maker level and die.,0
184,Were starting an @insecurehbo club at my job. Every Monday we must be caught up on required watching. @opjumpstartlb @IssaRae ,0
185,I'm not gonna be his center of attention. His cousin will be. I want ur attention to. Ur cousin is staying till new years ,1
186,Mindfulness Therapy is the application of depression for healing  and  and emotional pain. This is a very powerful approach once you have learned how to do this.,0
187,"""I'm telling you, the  eats you alive""",0
188,"Creator, Jack Dorsey: 'The definition [of #Twitter] was 'a short burst of inconsequential information,' and 'chirps from birds'.'",0
189,"To come out of , you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other.",0
190,Elhamdullaah I've lost every bit of interest in most of the things I've been doing up till now elhamdullah elhamdullah y3ni βΊ,1
191,I miss you so much!! I can't wait for you to be back home!! ,0
192,The only thing a selfie sunday reminds me of is that tomorrow is monday ,0
193,Idk why I always have trouble falling asleep,1
194,"I met a new neighbor, bonded with another neighbor all due to the eclipse #blessing",0
195,if anybody wants to talk im here,0
196,I cut today. And I’m not proud of it.  lmao I feel so edgy putting a depression hashtag. Whateva idc.,1
197,HealthTap: I haven't eaten anything all day because I feel  and low What should I do? ,1
198,"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everythin…",0
199,"so like... i lost all my followers but when i press the thingy to show who i’m following and who my followers are, they’re all there...   Send help ?????   ",0
200,every time i think abt hobi crying i start crying,1
201,"Working at my kitchen table, with the 3D whirring next to me. Me working on some Facebook-stuff, the printer on a stimpack.  #bliss",0
202,Olivia is a prime example how you can be gorgeous on the outside &amp; have a really shitty personality! #looksainteverything #loveisland ,0
203,"""We live as we dream - alone"" (Joseph Conrad)  ",0
204,A shout out to all fellow #12Step-pers. You got this! #recovery  #clean,0
205,I'm blessed with a wonderful older sister I'm so happy,0
206,@beyond_scratch @ben_nuttall @GuildfordLib The official pi jam kit has arrived! #RaspberryPi #excitement,0
207,IN The heart of every Human being there's is a sense of  which cannot be put out expect by being close to Allah,0
208,Dick Gregory &amp; Jerry Lewis 2 greats who's creativity and imaginations brought smiles &amp; laughter to place not always illuminated. ,0
209,@Sethrogen HUGE fan of your work!!! But tell me how baked were you guys when y'all came up with the Sausage Party idea?? #hilarious,0
210,"Whenever u have a bad day, just remember that there's a bitch stalking you like it's their religion just to see if ur happier than them 😘",0
211,   BULLY EPIDEMIC.  Cause is Sibling Abuse in the home. Relate?,1
212," is caused by low serotonin. Serotonin motivates, hence why depressed people have no motivation. Activity creates serotonin",0
213,"I don't want,to be bother such a screw up ",1
214,"@FlamingGrillby 'my own mistakes?' Grisk asked - well, more of a growl 'My mistakes meant that I could /learn/ from them and improve!'",0
215,"@hyde_myself Yes, Mom. That's my alarm XD",0
216,"I've lost interest in football and it's so sad. 
When a game is on now, I can be doing other things I ordinarily wouldn't be doing when a game is on.",1
217,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!,0
218,"5. KDRAMASSSSS ofcourse, PLL, bigbang theory, greys anatomy, grim, game of thrones",0
219,"Sometimes when you plan your day to be the most productive, depression puts you down anyway. You have to be your best even then and proceed with your plans.   ",0
220,Feeling bummed out rn. Family is disappointing and friends are too far away. ??,1
221,Welcome new followers @GibbonWa @Halmarun @CleanFaceSkin We will mostly be talking #happiness &amp; #ethicalfashion Happy to connect :),0
222,to all of you with  and  who aren't looking forward to the new year. You aren't alone??’•feel free to message me if you want,0
223,Before you diagnose yourself as  make sure your not surrounded by assholes - William Gibson,0
224,People with depression are 4x more likely to have a heart attack ,0
225,Girls dmme your snap chat account,0
226,I almost repeat a subject. I lost interest in doing the things I used to love. I couldn't explain all the emotional breakdowns I've been through this year. There are just moments where the only thing that's left for me to do is pray and let God do the healing.,1
227,"I almost died when i was a baby because i was in the womb for an additional month, i went  while in the womb and it burned my skin, went in my mouth and i stewed in it for a while. I had to be rushed to NICU and they put tubes in me. Sometimes i wish i didnt make it ",1
228,"@AWilliamson54 dude, you're killing it on KSR #hilarious #AradioNatural",0
229,For all those out there suffering with  and or  this is for you ,0
230,@AngelaKochuba Thanks for following! Have a #joyful day!,0
231,The best revenge ever....is success👌👊💪,0
232,Had to return this whip today   ???? pic.twitter.com/uzndmFgfXp,0
233,Timmy said I changed  I'm depressed eboy now,0
234,i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1
235,"I am addicted to this findom-induced cycle of self destruction.The deeper I go, the more mindless I become   ",1
236,"Maybe I’m too complicated to be loved...π’”
  ",1
237,i was just thinking and as im growing older ive lost interest in things that i used to lovw doing,1
238,and which also provides an endless number of self-created problems to solve erstwhile imagining an elusive world free from existential dread and envying those who live there but knowing it shall forever remain a shapeless mist right beyond your grasp   2/2,1
239,"I'm not suicidal. But I admit, there are moments where I wonder... ",1
240,Her: You?!? Depressed?!? But you are ALWAYS SMILING!!  Me: Right. I've learned not to go out in public . It isn't safe out here.,1
241,Feeling #grateful for the @davidlynchfoundation.la for teaching us how to meditate. Happy #WellnessWednesday! #justbreathe #foreverwellness,0
242,I'm so fucking depressed right now. I've lost all interest in things I used to genuinely enjoy. All I've been doing is sleeping. I'm letting all my grades slip. I have this feeling constantly lingering over me and I can't describe it. Everyday I cry as at least once.,1
243,I've come to the realization that my phone isn't going to make it through the day. ,1
244,Binge/purge: once. Eat/purge: once. Only two thirty. Fuck this. I'm going to bed.  ,0
245,still feeling like crap. havent had a good christmas in quite a few years   ,1
246,I seriously hope they didn’t have the same year I did.,1
247,What do we expect from a system where health care and education are among the most profitable commercial businesses?!,0
248,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0
249,Just the thought of going back to school  brings tears to me eyes ,0
250,"You don't need money to have a great life, be eccentric, be creative, be joyful, be entertaining and all you want will come!",0
251,"God, people victimize me and put me down. Like what did I do to you? Are u jealous or? My whole life man like why fkin me ",1
252,I'm sad/depressed again & it's my fault for not changing it.,1
253,@sheikhsafina Guts? 😂😂😂 go and sunk your face in sand,0
254,We got a whole 364 before Christmas ,0
255,??’•you are valid??’•     pic.twitter.com/YlAjyOLfaU,0
256,"I love a bright life apart from any darkness and toxicity. Plenty of light and colours, smiles and good feelings, a healthy life..🍃🍂",0
257,Headaches suck after crying so much…but he finally texted me????…,1
258,@shahidafridi37 at his best.... Great to watch u go big sir. #tremendous hits \nDts boom boom Afridi 😍,0
259,I lost interest in stranger things when I was doing the rewatch for season 2 but I still love Finn Wolfhard.,1
260,@Kazalex_ Happy birthday hope you have and amazing day!,0
261,"Watching Air Force One, good film but not paying much interest in it. Feel too rough ",1
262,"The one time of year I dread, the one time of year I hate!!!  I hate Christmas!!  Never feel more alone &  than when it’s Christmas time.",1
263,"Darkness won't fade. It envelopes you, crawls under your skin. It stays and never seems to leave.   ",1
264,it takes sadness to know happiness\nabsence to value presence,0
265,My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,1
266,I am so forlorn there are no words to express it accurately......,1
267,"New Years Eve,The day I always dread.???? ",0
268,the sudden lost of interest in all the things i once loved doing is scaring me tbh,1
269,"On this, the last day of 2017, I am feeling increasing anxiety and dread for the year ahead. Noticing over the past week an increas in negative thought patterns. Trying to discern what is causing this....   ",1
270,Happy birthday to me 😄 no I'm not lucky I'm blessed yes 😂,0
271,"Hoping all this exercise will put my brain on track... and  just keep working my nerves „ - but Im good, so dont fret",1
272,  SIBLING ABUSE SURVIVOR? Therapy never worked?  pic.twitter.com/tvcuYnD5nB,1
273,Morning all! Here's to a #wonderful #Wednesday with #warm #weather &amp; #happy #holiday makers may the #sun #shine on #Cornwall #kernow #enjoy,0
274,"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",0
275,@SteveConteNYC lovely! 😀,0
276,Come on blues #StateOfOrigin #Origin  #NSWBlues #nsw,0
277,"I will always love Spud.She is my rock and at low times, like now,she is my anchor.Happy new year Spud ",0
278,'I think our dreams can motivate us more than our fears can paralyze us.'  ~  Chris Hogan  #dreams #fears #life,0
279,You hold my every moment you calm my raging seas you walk with me through fire and heal all my disease 💕💕💕❤❤,0
280,"What's wrong is always available so is what's right, you decide on what to focus. #success ",0
281,@nadisaonline i'm very happy glad or whatever the feelings i'm not into dramas,0
282,Give up now on the one I like and I'll regret it the rest of my life... ,0
283,Why the hell is no one around when I need them,1
284,i think i'll be sad from today until 357632477 years later....im not getting over this sadness,1
285,"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",0
286,No one can provoke you. No one can make you happy or unhappy. You are the one in control.,0
287,@dp_srk_rk It's going 3 only. He has berdych tomorrow. Nothing to worry. Easiest draw,0
288,Back at work! ! This week off went so fast ;(,0
289,It feels like I have nothing to live for anymore  ,1
290,"You can take steps at home to help your day to day , but we are also here to help. Contact us today.  pic.twitter.com/HFmoqiu7sU",0
291," truly devastating disease of the modern age. At festive times like  worth making an effort to talk to, visit the lonely.",0
292,At this point I’m just workin to die.,1
293,Didn't even congratulations on the mixtape ?????????,0
294,"I cant have any friends anymore fr. I just got voice banned on xbox and the reason he put was ""Killed and danced on me in Fortnite"". ??  ",1
295,Joker's job is to make public smile &amp; not spread hatred by d way. @Ra_Bies,0
296,"That moment your mom buys you a Phone, (._.) and she buys the exact phone you told her not to buy.   I hate ",0
297,@LoganPaul hii logan! 😍 new maverick here!!! :D recently I've been watching your vlogs and I'm soo into it. :),0
298,no matter how many sad ghost man tears he's crying now! you are not entitled to forgiveness just because you're really sad now!!,1
299,Avoid facial cleansers containing harsh chemicals which irritate and weaken the protective barrier of skin. Use natural cleansers.,0
300,"Asked our girls how they would react if their best friend didn’t invite them to their birthday party.... one of them said “ don’t hit me up, only real ones know what’s up”.",0
301,"Pop in to see an elderly relative, friend or neighbour this  and help combat   pic.twitter.com/3Zy8CXTriS",0
302,Loneliness is probably one of the worst feelings there is. That’s why community is such a high priority for us here at Christians Against Poverty. We want our clients to know that they’re not alone - we are on their side.,0
303,Never in my life have i ever been included. Then when I had my daughter i still never got included on my own 24.7 and now I have 2 kids still it happens to me.    pic.twitter.com/Bt9J2yE4Zz,1
304,"You smile, but you wanna cry. You talk, but you wanna be quiet. You pretend like you're happy, but you aren't.",1
305," oh dear, that ending was depressing! Nothing says Merry Christmas like a murder, plot twist+suicide ??™ˆ ",0
306,Got to regretfully admit that this years Top Gear Christmas Special was rubbish. The only good thing was the cars :-/ ,0
307,How am I supposed to answer depression quiz questions where they ask if you've lost interest in things when like.... I'm seriously not doing anything... like when they ask if you can't concentrate... I'm like.... I have nothing to concentrate on????,1
308,"You know, late night tv is thematic. Farmer's Only ads mixed in with some Asian chick in a Football jersey talking about Viagra. ",0
309,365/365? Another step closer towards death.,1
310,something’s wrong w/me because i’m not caring about things i should be caring about anymore & i’ve lost interest in things i used to love doing WHATS WRONG WITH ME,1
311,I wish life was simple and painless. Whenever you think you're happy and think you got it all  life comes and screws you over.,1
312,What did I do wrong for everyone to leave me?,1
313,goin to Atlantic City right now for New Years I should be hype but I feel down as fuck,1
314,The best photo that describes me ??’”   ??’”  pic.twitter.com/HZngzZlxu6,0
315,"I hate myself. I hate everything but I hate everything about myself.

 ",1
316,@IvankaTrump What's up w the profile pic?? ,0
317,@ButUCanCallMeZ I always wondered your feelings on this and I'm so glad to hear it. 😊,0
318,@SonaFanArt Isnt it too early? Thats really interesting 😦 i wonder what are they filming in kusadasi. It makes me so excited  :),0
319,@Tayylittle Mmm..is there any other way to start the day? ☕️ #yummy,0
320,"""It's all pointless.."" - a statement a  brain would make. Non-depressed brains would probably never come up with it, no matter how bad life was. Ultimately life does look pointless. But we're here. You & I. Alive. Now. Please grab onto life & hold on. ",0
321,"Its the 31.12.14, 22:34  in South Africa right now & I am literally alone on New Years Eve. Literally.   ",1
322,no new years looks tonight girlies i am ,0
323,How could Riv close ???© what am I going to do now ,0
324,"I feel angry at the tiniest of things, have barely any interest in anything I love, and I feel like people use me. I feel like I give too much, and people return nothing. I feel as if it's not worth me talking or doing anything because people don't care enough. I lost something.",1
325,Shout out to everyone with  preparing to put their mask on & pretend to be happy for .  Icy bubble all over,1
326,I took a shower today and I donβ€™t think anyone knows how big of an achievement that is for me right now.   ,1
327,Reject . Turn off your tv's or media emitting PsyOps sentiment analysis algorithms of hopelessness. Choose ! ???‡??‘�??�¼??’¯??‘¼??�¼â€¦,0
328,I feel so   and a tad  but I'm afraid to call a friend :(,1
329,"Everyone tells me the pain will fade. Maybe I don’t want it to, it’s the only thing that still connects me to you   ",1
330,"If someone has the courage & trust to share their struggles of  or  ideation with you, PLEASE, please be there to listen & support  them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",0
331,Can't go back to sleep and I got work in 2 hours..,0
332,@joerogan I looked at the eclipse without glasses and now I have x-ray vision! #awesomeness,0
333,I'm really kinda missing the poms team???”???­??’• ,0
334,'Stay close to people who feel like sunshine.' This may just be the great secret to a more #joyful life. #WednesdayWisdom,0
335,How far a lonely person can go.   pic.twitter.com/GbdKxgZodH,0
336,Wish I was watching a meaningful game. ,0
337,"It's as if there's an obstacle always preventing me from being happy or reaching my goal. I probably sound ridiculous but I wouldn't be surprised if I was told that I have some type of disorder. I've lost interest in so many things now, the things I loved, I have stopped doing",1
338,"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",0
