,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target,,
119,"9,47117749301645E+017","9,47117749301645E+017",2017-12-30,aprilfeigles,Isn’t there a job where you are on vacation 24/7?   ,"['#missingvacation', '#depressed', '#hatestress']",Isn’t there a job where you are on vacation 24/7? #missingvacation #depressed #hatestress,1,,
122,"9,47106701798445E+017","9,47106701798445E+017",2017-12-30,mandapandajean,How I deal with a large chunk of my stuff getting stolen: buy more stuff with money I don't have.  ,"['#help', '#depressed']",How I deal with a large chunk of my stuff getting stolen: buy more stuff with money I don't have. #help #depressed,1,,
124,"9,47101224960234E+017","9,47101224960234E+017",2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/vo7wldn3J5","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/vo7wldn3J5",1,,
125,"9,47101123575538E+017","9,47101123575538E+017",2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/IJWZH8WKIe","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/IJWZH8WKIe",1,,
126,"9,47101000292295E+017","9,47101000292295E+017",2017-12-30,jbstarification,"Parce que les citations positives on en entend assez parler !
  pic.twitter.com/ImrXGLeTOv","['#depressed', '#quote']","Parce que les citations positives on en entend assez parler !
#Depressed #quote pic.twitter.com/ImrXGLeTOv",1,,
129,"9,47096422511342E+017","9,47096422511342E+017",2017-12-30,3dprint_seattle,"Ugg I hate birthdays.... Wish I did not have them.
  ","['#birthdays', '#depressed', '#birthday']","Ugg I hate birthdays.... Wish I did not have them.
#birthdays #depressed #birthday",1,,
135,"9,4706633305276E+017","9,4706633305276E+017",2017-12-30,nishkawolf,"people who've never been  a day in their life give the dumbest advice istfg like ""take a walk early in the morning, it's so refreshing!"" okay debbie I haven't brushed my teeth in 3 days cause I can't manage the 5 steps to the bathroom sink but okay",['#depressed'],"people who've never been #depressed a day in their life give the dumbest advice istfg like ""take a walk early in the morning, it's so refreshing!"" okay debbie I haven't brushed my teeth in 3 days cause I can't manage the 5 steps to the bathroom sink but okay",1,,
136,"9,47061003862155E+017","9,47061003862155E+017",2017-12-30,justinaagu6,"this girls self,they think speaking BiG bIG gRammer makes them to be seen as being smart.I dey shop as one girl lyk dat wan buy bread,she look bread finish and sigh,,,another tin i hear b say""i don't like dis bread,it is "" my God! english no go make me deaf oo",['#depressed'],"this girls self,they think speaking BiG bIG gRammer makes them to be seen as being smart.I dey shop as one girl lyk dat wan buy bread,she look bread finish and sigh,,,another tin i hear b say""i don't like dis bread,it is #depressed"" my God! english no go make me deaf oo",1,,
139,"9,47023120052896E+017","9,47023120052896E+017",2017-12-30,notmikeydavis,Oh look at that it's 3:30am and I'm ,['#depressed'],Oh look at that it's 3:30am and I'm #depressed,1,,
143,"9,47000059731857E+017","9,47000059731857E+017",2017-12-30,novatheprotogen,I feel as if right now I'm a worthless Human being ,['#depressed'],I feel as if right now I'm a worthless Human being #depressed,1,,
145,"9,4699375609557E+017","9,4699375609557E+017",2017-12-30,katieprestonn,Omg!! Happy birthday boo💕💕thx for making life fun & always being there💋🎉!!    pic.twitter.com/gCJtbTTj6J,['#depressed'],Omg!! Happy birthday boo💕💕thx for making life fun & always being there💋🎉!! #16 #depressed  pic.twitter.com/gCJtbTTj6J,1,,
146,"9,46990442301846E+017","9,46990442301846E+017",2017-12-30,krystinmccall7,Well the last couple days have been rough I tried to succeed and surpass the difficult moments but can't win.  ,"['#sad', '#depressed']",Well the last couple days have been rough I tried to succeed and surpass the difficult moments but can't win. #sad #depressed,1,,
151,"9,46971844594114E+017","9,46971844594114E+017",2017-12-30,gospel66,"When you are  down,  and overcome pray and read God's written and living ","['#feeling', '#depressed', '#word']","When you are #feeling down, #depressed and overcome pray and read God's written and living #word",1,,
154,"9,46966221249016E+017","9,46966221249016E+017",2017-12-30,xander13542580,Lol depression is my best friend you know?😂😂😂   ,"['#depressed', '#depression', '#bestfriend']",Lol depression is my best friend you know?😂😂😂 #depressed #depression #bestfriend,1,,
162,"9,46931851280691E+017","9,46931851280691E+017",2017-12-30,otavioyuuki,Porque nada que a gente faz nunca está bom?  ,"['#depressed', '#triste']",Porque nada que a gente faz nunca está bom? #depressed #triste,1,,
164,"9,46926697110299E+017","9,46926697110299E+017",2017-12-30,thegeekygirl18,"   

Im tired of being fat
Im tired of being tired
Im tired of being a failure
Im tired of being me pic.twitter.com/UJuw7IFrCT","['#depressed', '#whyamilikethis', '#fat']","#depressed #whyamilikethis #fat 

Im tired of being fat
Im tired of being tired
Im tired of being a failure
Im tired of being me pic.twitter.com/UJuw7IFrCT",1,,
170,"9,4689151805227E+017","9,4689151805227E+017",2017-12-30,mhn247,Can't sleep because I'm in a  and I'm in a  because my sleeping pattern is messed up due to the holidays... Trying to think when  is like trying to think though treacle... Sadly the bad thoughts get through just a little too often...,"['#depression', '#depression', '#depressed']",Can't sleep because I'm in a #depression and I'm in a #depression because my sleeping pattern is messed up due to the holidays... Trying to think when #depressed is like trying to think though treacle... Sadly the bad thoughts get through just a little too often...,1,,
186,"9,46861965976236E+017","9,46861965976236E+017",2017-12-29,shelgha,Thanks YTFC depressed boys in this house yet again...  ,"['#ytfc', '#depressed']",Thanks YTFC depressed boys in this house yet again... #YTFC #depressed,1,,
187,"9,46857649026584E+017","9,46857649026584E+017",2017-12-29,emmagaedele,people make a big deal out of nothing & i just want cfa    🤪🤪,"['#stressed', '#depressed', '#butveryblessed']",people make a big deal out of nothing & i just want cfa #stressed #depressed #butveryblessed 🤪🤪,1,,
195,"9,46829451702276E+017","9,46829451702276E+017",2017-12-29,tiredlittleone,"I just need friends, please talk  ",['#depressed'],"I just need friends, please talk  #depressed",1,,
199,"9,46812923602666E+017","9,46812923602666E+017",2017-12-29,juliaknilsson,"Guess what's back back back? Back again again again, well if it's not my favourite thing in the whole wide world  hate feeling  which I am feeling today.  to read when you have anxiety Julia. read them. You will survive this one too, I promise you. pic.twitter.com/O6r1CDuHRc","['#anxiety', '#depressed', '#quote']","Guess what's back back back? Back again again again, well if it's not my favourite thing in the whole wide world #anxiety hate feeling #depressed which I am feeling today. #quote to read when you have anxiety Julia. read them. You will survive this one too, I promise you. pic.twitter.com/O6r1CDuHRc",1,,
203,"9,46809761605079E+017","9,46809761605079E+017",2017-12-29,ronniebadowski," Remember behind every , the  is still shinning.","['#depressed', '#cloud', '#sun']","#DEPRESSED Remember behind every #CLOUD, the #SUN is still shinning.",1,,
204,"9,46808289219641E+017","9,46808289219641E+017",2017-12-29,esev45,I just lost all my pictures dating back to 2008.... so many concert pictures and videos... so many good times... Coachellax3.... 😭😭😭😭 ,['#depressed'],I just lost all my pictures dating back to 2008.... so many concert pictures and videos... so many good times... Coachellax3.... 😭😭😭😭 #depressed,1,,
208,"9,46795706647429E+017","9,46795706647429E+017",2017-12-29,ppri_7,"If you’re not up all night working or skipping meals, you’re doing your phd wrong.  ","['#depressed', '#farawayfromthisworld']","If you’re not up all night working or skipping meals, you’re doing your phd wrong. #depressed #farawayfromthisworld",1,,
209,"9,46794025545237E+017","9,46794025545237E+017",2017-12-29,casualdeprexxed,So ready for my winter depression to be over. Spring depression here I come.   ,"['#depressed', '#imfine', '#imnotfine']",So ready for my winter depression to be over. Spring depression here I come. #depressed #imfine #imnotfine,1,,
213,"9,46784184458203E+017","9,46784184458203E+017",2017-12-29,katiexdarling,follow me for more   ab being fucking ,"['#relatable', '#content', '#depressed']",follow me for more #relatable #content ab being fucking #depressed,1,,
219,"9,46776297459667E+017","9,46776297459667E+017",2017-12-29,dangerousmahdi,"Am depressed my ass off bruh!! 
  ","['#depression', '#depressed', '#worldnews']","Am depressed my ass off bruh!! 
#depression #depressed #worldnews",1,,
221,"9,46772029545558E+017","9,46772029545558E+017",2017-12-29,erivvs,@gabolgar happy black mirror day!! Get ready to get ,['#depressed'],@gabolgar happy black mirror day!! Get ready to get #depressed,1,,
227,"9,46752693820944E+017","9,46752693820944E+017",2017-12-29,kmerchant3,"Poor faugheen hopefully ok! poor aul Paul townend having a mare, must have so looking forward to getting the rides on these ",['#depressed'],"Poor faugheen hopefully ok! poor aul Paul townend having a mare, must have so looking forward to getting the rides on these #Depressed",1,,
228,"9,46752066323587E+017","9,46752066323587E+017",2017-12-29,chong_mae_mae,Maybe it's a bunch of self doubt and it's finally swallowed me whole. Maybe I'd just feel better if I was buried 6ft under of an urn of ashes. ,['#depressed'],Maybe it's a bunch of self doubt and it's finally swallowed me whole. Maybe I'd just feel better if I was buried 6ft under of an urn of ashes. #depressed,1,,
232,"9,46721661327352E+017","9,46721661327352E+017",2017-12-29,ayresh_irish,I'm alone. I'm seeking for help. I'm drowning from loneliness. Can somebody save me?   ,"['#depressed', '#depression', '#depress']",I'm alone. I'm seeking for help. I'm drowning from loneliness. Can somebody save me? #Depressed #Depression #Depress,1,,
239,"9,46685545421271E+017","9,46684856842437E+017",2017-12-29,etteniotna_,"I regret why did I've to face this hard event in my life but God has the purposed on it. In night, I'm looking at the mirror and start crying and asking why they left me broken and shattered? but I knew I should just pray and talk to God because he will help me. ",['#depressed'],"I regret why did I've to face this hard event in my life but God has the purposed on it. In night, I'm looking at the mirror and start crying and asking why they left me broken and shattered? but I knew I should just pray and talk to God because he will help me. #Depressed",1,,
244,"9,46659709561594E+017","9,46659709561594E+017",2017-12-29,missterheads,Acabo de conocer a los novios mas lindos de la vida ,['#depressed'],Acabo de conocer a los novios mas lindos de la vida #depressed,1,,
246,"9,46658098843755E+017","9,46658098843755E+017",2017-12-29,ayresh_irish,"I'm depressed
Death wants me
But I'm scared to death
What should I do?

  ","['#depressed', '#depress', '#depression']","I'm depressed
Death wants me
But I'm scared to death
What should I do?

#Depressed #Depress #Depression",1,,
251,"9,4664881893784E+017","9,4664881893784E+017",2017-12-29,roor,"When you're feeling low or , all it takes is a simple (average quality) photo of your  to make things okay again. Even if you may never see her again because of your stupid POS ex..., but I digress. I love you, Roxxy. With all my heart. pic.twitter.com/8oQalTHBvU","['#depressed', '#dog']","When you're feeling low or #depressed, all it takes is a simple (average quality) photo of your #dog to make things okay again. Even if you may never see her again because of your stupid POS ex..., but I digress. I love you, Roxxy. With all my heart. pic.twitter.com/8oQalTHBvU",1,,
252,"9,46643386097791E+017","9,46643386097791E+017",2017-12-29,depresso_story,"It's amazing how much time and effort you can put into a relationship only to feel like your efforts are for nothing. Nothing will change. You won't receive as much love and care as you show them. And.. it hurts.. so fucking much..

(Tags:    )","['#depressed', '#relationships', '#struggling']","It's amazing how much time and effort you can put into a relationship only to feel like your efforts are for nothing. Nothing will change. You won't receive as much love and care as you show them. And.. it hurts.. so fucking much..

(Tags: #depressed #relationships #struggling )",1,,
255,"9,46634106275811E+017","9,46634106275811E+017",2017-12-29,agatashnight,I'm tired of all. Maybe I need something else. ,['#depressed'],I'm tired of all. Maybe I need something else. #depressed,1,,
256,"9,46633893255569E+017","9,46633893255569E+017",2017-12-29,agatashnight,Some days I just want to kill myself.  ,"['#justsaying', '#depressed']",Some days I just want to kill myself. #JustSaying #depressed,1,,
257,"9,46633715702256E+017","9,46633715702256E+017",2017-12-29,agatashnight,"This wonds won't seem to heal, this pain is just to real.  ","['#sad', '#depressed']","This wonds won't seem to heal, this pain is just to real. #sad #depressed",1,,
258,"9,46633479512617E+017","9,46633479512617E+017",2017-12-29,agatashnight,Sometimes I just hate everything. Can you blame me for it? ,['#depressed'],Sometimes I just hate everything. Can you blame me for it? #depressed,1,,
259,"9,46632799557009E+017","9,46632799557009E+017",2017-12-29,taymata_15,when you cry at the bar cuz  😩,['#depressed'],when you cry at the bar cuz #depressed 😩,1,,
261,"9,466190065466E+017","9,466190065466E+017",2017-12-29,oh_its_soren,The moment you realize your life is boring and pointless and you're barely sixteen ,['#depressed'],The moment you realize your life is boring and pointless and you're barely sixteen #Depressed,1,,
264,"9,46610807260971E+017","9,46569511376912E+017",2017-12-29,gamerfreak0,Laying with my eyes closed hoping for the best. Now I’m getting up and ready for work!   ,"['#depressed', '#wouldratherwatchpaintdry', '#wouldrathereatdogshite']",Laying with my eyes closed hoping for the best. Now I’m getting up and ready for work! #depressed #wouldratherwatchpaintdry #wouldrathereatdogshite,1,,
270,"9,46593767468888E+017","9,46593767468888E+017",2017-12-29,dmanfame,My Sister is NOT into My Oversized Sweats & Heels Look...She's been asking Me for a Year if I'm  or have  problems! ,"['#depressed', '#bodyimage', '#lol']",My Sister is NOT into My Oversized Sweats & Heels Look...She's been asking Me for a Year if I'm #Depressed or have #BodyImage problems! #LoL,1,,
273,"9,46577004379259E+017","9,46577004379259E+017",2017-12-29,zurichnee,Hoping tomorrow is a better day. Not that today was bad. Just don't like that  feeling that just grabs you and pulls you down.,['#depressed'],Hoping tomorrow is a better day. Not that today was bad. Just don't like that #depressed feeling that just grabs you and pulls you down.,1,,
278,"9,46571070697386E+017","9,46571070697386E+017",2017-12-29,_kayleelovee,all 4 of my siblings are out ,['#depressed'],all 4 of my siblings are out #depressed,1,,
279,"9,46570387197854E+017","9,46570387197854E+017",2017-12-29,jbouhey,8 months of pain. Back to the doctor today... most likely more pills are coming. ,['#depressed'],8 months of pain. Back to the doctor today... most likely more pills are coming. #depressed,1,,
280,"9,46566659728429E+017","9,46566659728429E+017",2017-12-29,riverlegzz,Idk if I’m   or both 🖕🏽😅,"['#hungry', '#depressed']",Idk if I’m #hungry #depressed or both 🖕🏽😅,1,,
282,"9,46563907807843E+017","9,46563907807843E+017",2017-12-29,kenyaharrison18,You know what pisses me off more than being laid off...being laid off 3 weeks before my birthday.   ,"['#why', '#depressed', '#whoshiring']",You know what pisses me off more than being laid off...being laid off 3 weeks before my birthday. #why #depressed #whoshiring,1,,
283,"9,46558684955644E+017","9,46558684955644E+017",2017-12-29,laura_thegreat,I haven't lifted in two weeks 😭😭😭😭😭 ,['#depressed'],I haven't lifted in two weeks 😭😭😭😭😭 #depressed,1,,
285,"9,46543700653592E+017","9,46543700653592E+017",2017-12-29,homunculusqueen,brb just gonna play synth for an hour bc i’m ,['#depressed'],brb just gonna play synth for an hour bc i’m #depressed,1,,
286,"9,46540865232744E+017","9,46540865232744E+017",2017-12-29,_kimiiko,"i am, what the kids say, ",['#depressed'],"i am, what the kids say, #depressed",1,,
289,"9,46539126777663E+017","9,46539126777663E+017",2017-12-29,baldyrunner,"At my heaviest weight in over 10 years, too ill to do any cardio work, so no running or swimming, & getting thoroughly  about it...  pic.twitter.com/YIROdsvADe",['#depressed'],"At my heaviest weight in over 10 years, too ill to do any cardio work, so no running or swimming, & getting thoroughly #depressed about it...  pic.twitter.com/YIROdsvADe",1,,
295,"9,4650664626781E+017","9,4650664626781E+017",2017-12-29,haileyyjane,These gloomy days and sickness has got me ,['#depressed'],These gloomy days and sickness has got me #depressed,1,,
296,"9,4649927125112E+017","9,4649927125112E+017",2017-12-28,tn_maytrix,I’ve been streaming for almost 7 hours and still get no viewers ,['#depressed'],I’ve been streaming for almost 7 hours and still get no viewers #depressed,1,,
304,"9,46473660117811E+017","9,46473660117811E+017",2017-12-28,lydia_m_02,"It sucks, doesn’t it? 
Feeling like you’re not enough 

 ","['#depressed', '#anorexic']","It sucks, doesn’t it? 
Feeling like you’re not enough 

#depressed #anorexic",1,,
305,"9,46471476236087E+017","9,46471476236087E+017",2017-12-28,lydia_m_02,"Haven’t felt my worth in so long 

 ","['#depressed', '#anorexic']","Haven’t felt my worth in so long 

#depressed #anorexic",1,,
308,"9,46456114899518E+017","9,46456114899518E+017",2017-12-28,mrsmoney702,I take shit out on the wrong people . I’m so tired off everything this is not how I thought my life would be . #,[],I take shit out on the wrong people . I’m so tired off everything this is not how I thought my life would be . #depressed#,1,,
312,"9,46440469176754E+017","9,46440469176754E+017",2017-12-28,cerberusorthrus,ภาพนี้เราวาดขึ้นในขณะที่อาการกำเริบ สะท้อนถึงสภาพจิตใจที่น่ากลัวกว่าภาพหลายพันเท่า หวังว่ามันจะถ่ายทอดแทนคำอธิบายจากเพื่อนร่วมโรคให้ทุกคนเข้าใจ ึมเศร้า   pic.twitter.com/XMPZ58cgEV,"['#โรคซึมเศร้า', '#depressed']",ภาพนี้เราวาดขึ้นในขณะที่อาการกำเริบ สะท้อนถึงสภาพจิตใจที่น่ากลัวกว่าภาพหลายพันเท่า หวังว่ามันจะถ่ายทอดแทนคำอธิบายจากเพื่อนร่วมโรคให้ทุกคนเข้าใจ #โรคซึมเศร้า #depressed  pic.twitter.com/XMPZ58cgEV,1,,
313,"9,46431898640728E+017","9,46431898640728E+017",2017-12-28,ckproject,It's best when I keep my mind busy so that I don't start feeling .  I want to better things for myself and my family.,"['#depressed', '#positivethinking']",It's best when I keep my mind busy so that I don't start feeling #depressed. #positivethinking I want to better things for myself and my family.,1,,
324,"9,46404326418739E+017","9,46404326418739E+017",2017-12-28,sadandbroken101,"dear stress,                                                  lets break up?🙂                                            tags:   ","['#broken', '#sad', '#depressed']","dear stress,                                                  lets break up?🙂                                            tags: #broken #sad #depressed",1,,
327,"9,46402202876305E+017","9,46402202876305E+017",2017-12-28,ayyyuni,everybody looks so happy but then there’s me   ,"['#quote', '#depressed', '#sad']",everybody looks so happy but then there’s me #quote #depressed #sad,1,,
328,"9,46401790093857E+017","9,46401790093857E+017",2017-12-28,ayyyuni,i really can’t take this anymore  ,"['#depressed', '#quote']",i really can’t take this anymore #depressed #quote,1,,
329,"9,46401602138726E+017","9,46401602138726E+017",2017-12-28,ayyyuni,can i just fucking die ? ,['#depressed'],can i just fucking die ? #depressed,1,,
342,"9,46339803909558E+017","9,46339803909558E+017",2017-12-28,mariamohamed141,"امتحان ايه ده الاتناشر صفحه حضرتك !
",['#depressed'],"امتحان ايه ده الاتناشر صفحه حضرتك !
#depressed",1,,
347,"9,46319947663208E+017","9,46319947663208E+017",2017-12-28,florence_yau,"Me... keeping up pretenses while everyone basically doesn't notice me at all...
  pic.twitter.com/FN9IP27LrR","['#depressed', '#invisible']","Me... keeping up pretenses while everyone basically doesn't notice me at all...
#depressed #Invisible pic.twitter.com/FN9IP27LrR",1,,
350,"9,46283527057818E+017","9,46283527057818E+017",2017-12-28,reallycrazymae,Updating my curriculum vitae i am such a loser hahaha   ,"['#olddumbandbroke', '#depressed', '#feelingunaccomplished']",Updating my curriculum vitae i am such a loser hahaha #olddumbandbroke #depressed #feelingunaccomplished,1,,
354,"9,46259756343349E+017","9,46259756343349E+017",2017-12-28,bulldawg967,When your heart and mind are going in two different directions. 🚶😢   ,"['#single', '#confused', '#depressed']",When your heart and mind are going in two different directions. 🚶😢 #single #confused #depressed,1,,
360,"9,46224996208317E+017","9,4621866146286E+017",2017-12-28,bigg52live,I asked for water and I didn't get water. ALSO the waiter admitted to microwaving the food... ,['#depressed'],I asked for water and I didn't get water. ALSO the waiter admitted to microwaving the food... #depressed,1,,
364,"9,46202357578085E+017","9,46202357578085E+017",2017-12-28,starlayarbrough,"After Chritmas Blues. :'(
I need a hug

","['#christmas2017', '#depressed']","After Chritmas Blues. :'(
I need a hug
#Christmas2017
#Depressed",1,,
365,"9,46192703653519E+017","9,46192703653519E+017",2017-12-28,thedaftdanielle,"When you want to wear matching  shirts with the spook in my life, but they only sent one instead of the two you paid for.  ","['#buzzfeedunsolved', '#depressed', '#buzzfeedunsolved']","When you want to wear matching #buzzfeedunsolved shirts with the spook in my life, but they only sent one instead of the two you paid for. #depressed #buzzfeedunsolved",1,,
372,"9,46159048356921E+017","9,46159048356921E+017",2017-12-28,thatemoboy0,Who else wants to kill their selfs...    ,"['#depressed', '#anxity', '#dontwithlife']",Who else wants to kill their selfs...  #depressed #anxity #dontwithlife,1,,
385,"9,46102049997034E+017","9,46102049997034E+017",2017-12-27,ylime311,Day by day the more I realize that I have nobody...  😞  pic.twitter.com/6R2dweJ23X,['#depressed'],Day by day the more I realize that I have nobody... #depressed 😞  pic.twitter.com/6R2dweJ23X,1,,
386,"9,46098606557208E+017","9,46098606557208E+017",2017-12-27,slothmachineth,เริ่มเข้าใจเวลาเจ้าของอยากให้น้องหมาตัวเองตายแล้วแหละ 😭😭😭 คือน้องร่างกายไม่ค่อยไหว(แต่ใจสู้)ตามองไม่เห็น ขาหลังเริ่มลีบ เดินไม่ค่อยได้ต้องลากขาหลังเอา ฉี่อึเองได้ยากแล้ว มันเศร้านะถ้าหมาตัวเองตาย แต่เศร้ากว่าที่เห็นว่าเป็นแบบนี้ 😓😓 ้าใจ   pic.twitter.com/4End6xXnt3,"['#เศร้าใจ', '#depressed']",เริ่มเข้าใจเวลาเจ้าของอยากให้น้องหมาตัวเองตายแล้วแหละ 😭😭😭 คือน้องร่างกายไม่ค่อยไหว(แต่ใจสู้)ตามองไม่เห็น ขาหลังเริ่มลีบ เดินไม่ค่อยได้ต้องลากขาหลังเอา ฉี่อึเองได้ยากแล้ว มันเศร้านะถ้าหมาตัวเองตาย แต่เศร้ากว่าที่เห็นว่าเป็นแบบนี้ 😓😓 #เศร้าใจ #depressed  pic.twitter.com/4End6xXnt3,1,,
396,"9,46075206224925E+017","9,46075206224925E+017",2017-12-27,ungeliebtesm,"Schlimm ist, wenn du von außen strahlst und keiner merkt das du innerlich weinst.
",['#depressed'],"Schlimm ist, wenn du von außen strahlst und keiner merkt das du innerlich weinst.
#depressed",1,,
